run_id,run_dir,run_index,livello,tbt_dirname,params_da_host,params_trovato,chain_name,target_block_time,setup_first_blocks,mining_diversity,mining_turnover,weight_epoch_length,weight_kappa,weight_alpha,weight_lambda,wpoa_sortition_delta,wpoa_sortition_lambda,wpoa_randao_lookback,dump_function,enable_wpoa,enable_wpoa_selection,enable_wpoa_sortition,enable_wpoa_malus,enable_weight_engine,minimum_relay_fee,first_block_reward,setupblocks_getinfo,chainname_getinfo,protocolversion,tbt,tbt_params,tbt_mismatch,setup_blocks,setup_mismatch,epoch_len,mining_diversity_val,delta,lambda_sortition,rtt_max_ms,stato,note,malus_events_found,blocchi_misurati,fork_verdetto,path
run1-tbt-15s/continentale,run1-tbt-15s,1,continentale,15,admin,True,poesiacontinentale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,60,poesiacontinentale,20014,15,15,0,60,0,12,0.0,0.5,0.2,44.7,completa,,0,109,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/continentale
run1-tbt-15s/intercontinentale,run1-tbt-15s,1,intercontinentale,15,admin,True,poesiaintercontinentale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,60,poesiaintercontinentale,20014,15,15,0,60,0,12,0.0,0.5,0.2,112.0,completa,,0,112,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/intercontinentale
run1-tbt-15s/nazionale,run1-tbt-15s,1,nazionale,15,admin,True,poesianazionale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,60,poesianazionale,20014,15,15,0,60,0,12,0.0,0.5,0.2,22.0,completa,,0,113,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/nazionale
run1-tbt-15s/regionale,run1-tbt-15s,1,regionale,15,admin,True,poesiaregionale,15,60,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,60,poesiaregionale,20014,15,15,0,60,0,12,0.0,0.5,0.2,10.0,completa,,0,107,nessun fork,/home/mattu/multichain/shadow/esperimenti/run1-tbt-15s/regionale
run2-tbt-10s/continentale,run2-tbt-10s,2,continentale,10,admin,True,poesiacontinentale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,64,poesiacontinentale,20014,10,10,0,64,0,12,0.0,0.5,0.2,44.7,completa,,0,260,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/continentale
run2-tbt-10s/intercontinentale,run2-tbt-10s,2,intercontinentale,10,admin,True,poesiaintercontinentale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,64,poesiaintercontinentale,20014,10,10,0,64,0,12,0.0,0.5,0.2,112.0,completa,,0,263,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/intercontinentale
run2-tbt-10s/nazionale,run2-tbt-10s,2,nazionale,10,admin,True,poesianazionale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,64,poesianazionale,20014,10,10,0,64,0,12,0.0,0.5,0.2,22.0,completa,,0,265,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/nazionale
run2-tbt-10s/regionale,run2-tbt-10s,2,regionale,10,admin,True,poesiaregionale,10,64,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,64,poesiaregionale,20014,10,10,0,64,0,12,0.0,0.5,0.2,10.0,completa,,0,261,nessun fork,/home/mattu/multichain/shadow/esperimenti/run2-tbt-10s/regionale
run3-tbt-5s/continentale,run3-tbt-5s,3,continentale,5,admin,True,poesiacontinentale,5,98,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,98,poesiacontinentale,20014,5,5,0,98,0,12,0.0,0.5,0.2,44.7,completa,,0,322,ritardo di propagazione,/home/mattu/multichain/shadow/esperimenti/run3-tbt-5s/continentale
run3-tbt-5s/intercontinentale,run3-tbt-5s,3,intercontinentale,5,admin,True,poesiaintercontinentale,5,98,0.0,0.5,12,100,0.2,0.5,0.5,0.2,1,none,true,true,true,true,true,20000000,100000000000000,98,poesiaintercontinentale,20014,5,5,0,98,0,12,0.0,0.5,0.2,112.0,completa,,0,323,nessun fork,/home/mattu/multichain/shadow/esperimenti/run3-tbt-5s/intercontinentale
