run_id,livello,tbt,height_conferma,epoca,azienda,indirizzo,miner_cluster,miner_indirizzo,evento,txid
run1-tbt-15s/regionale,regionale,15,18,2,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,auto-adesione del miner,9d48696faf1ed13f6f9c6bcd32b395df01b2b452b86041919f2ba6c81d28a2f9
run1-tbt-15s/regionale,regionale,15,18,2,c5,12CAY81XqqGQ53QXsY3oR9oxw3YiaPjrKkdby9,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,adesione,3a2fb206751c209cda5274abee26f994d11ea95db1bf7af129cd5043b2de57f8
run1-tbt-15s/regionale,regionale,15,18,2,c1,1QeD1MiyZASH93EjBcPYpb1VbdP8VK68jesBxL,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,adesione,96e31a5b22e4ac9a338b11ffc3049293bd2464f9ac7f21716f1c2cf3f0be7228
run1-tbt-15s/regionale,regionale,15,18,2,c4,1Rt6yAwfP85GtvRLtVND1tX55evgB2m5FDvFRw,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,adesione,4f832f6d44432a59b90afb85758f2137fe27258bc4c35666e124bc4c9a82b0d8
run1-tbt-15s/regionale,regionale,15,18,2,c3,1QQoTiHA5ooKPefGXGPqnbp9s87fVqMgMKBchQ,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,adesione,fe4cfb976dda8775ba75fb46b1a680c68f46a16c3cbfe07d9f6bf5b446c754aa
run1-tbt-15s/regionale,regionale,15,18,2,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,auto-adesione del miner,c7471d783e7923b21429cc3465939439dbf1b6f05365d576a1b5c94d8183cdf9
run1-tbt-15s/regionale,regionale,15,18,2,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,auto-adesione del miner,9c62e7846056efe81685022547f6db477e321922013f9c2a324f08a91d5b5924
run1-tbt-15s/regionale,regionale,15,18,2,c2,1Cw3SU7CSR9jNxKrsJvkRJxb1mCgAxQNkG5YD4,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,adesione,7241cfad5d796bfc7cc098bba599439228fd5064fff0b5efb8003e29222a1c82
