height,host,balance
160,c1,99.804
160,c2,99.804
160,c3,99.8038
160,c4,99.804
160,c5,99.804
160,m1,4.3351
160,m2,20.9958
160,m3,40.0372
160,ca,49.357
174,c1,99.6076
174,c2,99.6632
174,c3,99.7184
174,c4,99.7186
174,c5,99.7186
174,m1,7.0493
174,m2,9.4771
174,m3,32.3086
174,ca,49.357
188,c1,99.3846
188,c2,99.4962
188,c3,99.6068
188,c4,99.6072
188,c5,99.6628
188,m1,7.1015
188,m2,45.1195
188,m3,26.9585
188,ca,49.357
201,c1,99.161
201,c2,99.3846
201,c3,99.4954
201,c4,99.5514
201,c5,99.607
201,m1,7.4069
201,m2,19.2604
201,m3,21.9776
201,ca,49.357
212,c1,98.9374
212,c2,99.217
212,c3,99.384
212,c4,99.44
212,c5,99.5512
212,m1,8.0815
212,m2,48.7312
212,m3,17.7866
212,ca,49.357
222,c1,98.7694
222,c2,99.105
222,c3,99.2724
222,c4,99.3842
222,c5,99.4396
222,m1,7.5923
222,m2,20.8853
222,m3,94.4787
222,ca,49.357
235,c1,98.5458
235,c2,98.937
235,c3,99.1604
235,c4,99.2724
235,c5,99.3838
235,m1,7.6596
235,m2,9.2187
235,m3,75.8324
235,ca,49.357
247,c1,98.3218
247,c2,98.825
247,c3,99.0484
247,c4,99.2164
247,c5,99.3282
247,m1,7.7088
247,m2,44.7665
247,m3,61.0207
247,ca,49.357
258,c1,98.0982
258,c2,98.6572
258,c3,98.9366
258,c4,99.1044
258,c5,99.2722
258,m1,7.6941
258,m2,18.9854
258,m3,49.0658
258,ca,49.357
271,c1,97.8742
271,c2,98.5452
271,c3,98.8246
271,c4,99.0484
271,c5,99.2162
271,m1,7.5726
271,m2,48.673
271,m3,39.5312
271,ca,49.357
282,c1,97.7064
282,c2,98.3776
282,c3,98.7686
282,c4,98.9366
282,c5,99.1044
282,m1,7.5135
282,m2,20.624
282,m3,31.8746
282,ca,49.357
293,c1,97.4824
293,c2,98.2656
293,c3,98.6566
293,c4,98.8806
293,c5,99.0484
293,m1,7.5191
293,m2,9.2988
293,m3,26.0227
293,ca,49.357
305,c1,97.2586
305,c2,98.0978
305,c3,98.5446
305,c4,98.7688
305,c5,98.9924
305,m1,7.6483
305,m2,44.7981
305,m3,21.0676
305,ca,49.357
317,c1,97.0348
317,c2,97.9858
317,c3,98.4328
317,c4,98.7128
317,c5,98.9364
317,m1,7.4931
317,m2,18.9982
317,m3,17.1033
317,ca,49.357
329,c1,96.867
329,c2,97.818
329,c3,98.3212
329,c4,98.6008
329,c5,98.8804
329,m1,7.4992
329,m2,48.98
329,m3,94.0374
329,ca,49.357
341,c1,96.6434
341,c2,97.7062
341,c3,98.2092
341,c4,98.5448
341,c5,98.7684
341,m1,7.3053
341,m2,20.9378
341,m3,76.0836
341,ca,49.357
352,c1,96.4198
352,c2,97.5384
352,c3,98.0974
352,c4,98.433
352,c5,98.7124
352,m1,7.3441
352,m2,9.3967
352,m3,60.9836
352,ca,49.357
365,c1,96.196
365,c2,97.4264
365,c3,97.9854
365,c4,98.377
365,c5,98.6564
365,m1,7.0064
365,m2,45.5074
365,m3,49.0811
365,ca,49.357
377,c1,95.972
377,c2,97.2588
377,c3,97.8734
377,c4,98.2654
377,c5,98.6004
377,m1,7.1367
377,m2,19.8412
377,m3,39.5589
377,ca,49.357
387,c1,95.8042
387,c2,97.147
387,c3,97.8174
387,c4,98.2094
387,c5,98.4884
387,m1,7.4146
387,m2,49.0714
387,m3,32.3357
387,ca,49.357
400,c1,95.5804
400,c2,96.979
400,c3,97.7056
400,c4,98.0974
400,c5,98.4324
400,m1,7.6014
400,m2,20.913
400,m3,26.1389
400,ca,49.357
411,c1,95.3568
411,c2,96.867
411,c3,97.5936
411,c4,98.0414
411,c5,98.3764
411,m1,7.754
411,m2,9.1828
411,m3,21.2659
411,ca,49.357
423,c1,95.133
423,c2,96.6992
423,c3,97.4818
423,c4,97.9296
423,c5,98.3206
423,m1,7.1293
423,m2,45.2134
423,m3,17.3068
423,ca,49.357
434,c1,94.9092
434,c2,96.5312
434,c3,97.37
434,c4,97.8738
434,c5,98.2646
434,m1,107.8145
434,m2,45.254
434,m3,117.2306
434,ca,49.357
446,c1,94.7412
446,c2,96.4192
446,c3,97.2584
446,c4,97.7618
446,c5,98.1528
446,m1,8.1283
446,m2,19.1506
446,m3,94.0631
446,ca,49.357
458,c1,94.5174
458,c2,96.2514
458,c3,97.1466
458,c4,97.7058
458,c5,98.0968
458,m1,108.7113
458,m2,48.9944
458,m3,75.6053
458,ca,49.357
469,c1,94.2934
469,c2,96.1394
469,c3,97.0348
469,c4,97.594
469,c5,98.0408
469,m1,7.0012
469,m2,21.809
469,m3,60.7334
469,ca,49.357
480,c1,94.069
480,c2,95.9716
480,c3,96.9228
480,c4,97.538
480,c5,97.9848
480,m1,7.6633
480,m2,10.1604
480,m3,48.8359
480,ca,49.357
492,c1,93.8442
492,c2,95.8598
492,c3,96.8108
492,c4,97.4262
492,c5,97.9288
492,m1,7.7304
492,m2,105.1136
492,m3,39.7749
492,ca,49.357
503,c1,93.676
503,c2,95.6918
503,c3,96.7548
503,c4,97.3702
503,c5,97.8172
503,m1,8.1175
503,m2,43.065
503,m3,32.1747
503,ca,49.357
515,c1,93.4512
515,c2,95.58
515,c3,96.643
515,c4,97.2582
515,c5,97.7612
515,m1,8.0775
515,m2,18.4428
515,m3,26.0184
515,ca,49.357
526,c1,93.2268
526,c2,95.412
526,c3,96.5312
526,c4,97.2024
526,c5,97.7052
526,m1,7.6928
526,m2,48.6581
526,m3,21.0935
526,ca,49.357
537,c1,93.0024
537,c2,95.3
537,c3,96.4196
537,c4,97.0904
537,c5,97.6492
537,m1,7.3978
537,m2,21.0781
537,m3,17.2296
537,ca,49.357
549,c1,92.8338
549,c2,95.1322
549,c3,96.3076
549,c4,97.0344
549,c5,97.5934
549,m1,7.4234
549,m2,10.0434
549,m3,94.0625
549,ca,49.357
562,c1,92.6092
562,c2,95.0204
562,c3,96.1958
562,c4,96.9226
562,c5,97.4814
562,m1,7.6075
562,m2,45.5222
562,m3,75.5286
562,ca,49.357
574,c1,92.3844
574,c2,94.8526
574,c3,96.0838
574,c4,96.8106
574,c5,97.4254
574,m1,8.0944
574,m2,19.2285
574,m3,60.7015
574,ca,49.357
585,c1,92.1596
585,c2,94.7408
585,c3,95.972
585,c4,96.7548
585,c5,97.3696
585,m1,7.9024
585,m2,48.7406
585,m3,48.916
585,ca,49.357
598,c1,91.9354
598,c2,94.573
598,c3,95.86
598,c4,96.643
598,c5,97.3136
598,m1,7.3256
598,m2,21.373
598,m3,39.3822
598,ca,49.357
610,c1,91.767
610,c2,94.4052
610,c3,95.748
610,c4,96.587
610,c5,97.2016
610,m1,8.0691
610,m2,9.5166
610,m3,31.7552
610,ca,49.357
622,c1,91.5426
622,c2,94.2932
622,c3,95.692
622,c4,96.4752
622,c5,97.1456
622,m1,7.6375
622,m2,45.3681
622,m3,25.6828
622,ca,49.357
634,c1,91.3178
634,c2,94.1248
634,c3,95.5804
634,c4,96.4192
634,c5,97.0898
634,m1,7.9565
634,m2,19.1968
634,m3,20.825
634,ca,49.357
645,c1,91.0932
645,c2,94.0126
645,c3,95.4688
645,c4,96.3074
645,c5,97.0338
645,m1,8.0613
645,m2,48.7138
645,m3,17.0148
645,ca,49.357
656,c1,90.8686
656,c2,93.8442
656,c3,95.3568
656,c4,96.2514
656,c5,96.9778
656,m1,7.8096
656,m2,20.6807
656,m3,93.8904
656,ca,49.357
668,c1,90.7004
668,c2,93.732
668,c3,95.2448
668,c4,96.1394
668,c5,96.8658
668,m1,8.1567
668,m2,9.0269
668,m3,75.3909
668,ca,49.357
678,c1,90.4758
678,c2,93.5638
678,c3,95.1328
678,c4,96.0834
678,c5,96.81
678,m1,7.6994
678,m2,44.6306
678,m3,60.5913
678,ca,49.357
689,c1,90.2512
689,c2,93.4514
689,c3,95.0212
689,c4,95.9714
689,c5,96.754
689,m1,7.47
689,m2,19.1816
689,m3,48.8278
689,ca,49.357
701,c1,90.0266
701,c2,93.2834
701,c3,94.9094
701,c4,95.9154
701,c5,96.6982
701,m1,7.6467
701,m2,48.9483
701,m3,39.417
701,ca,49.357
