run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run6-tbt-10s/nazionale,nazionale,10,1,3,0.402534,0.402534,0.72856,m1,0.67195,0.402534,0.212786,1e-06
run6-tbt-10s/nazionale,nazionale,10,2,3,0.406177,0.406177,0.722528,m1,0.673966,0.404277,0.212156,0.0019
run6-tbt-10s/nazionale,nazionale,10,3,2,0.256123,0.256123,0.801429,m1,0.756123,0.406406,0.212578,-0.150284
run6-tbt-10s/nazionale,nazionale,10,4,3,0.409963,0.409963,0.717002,m1,0.678204,0.408156,0.21315,0.001807
run6-tbt-10s/nazionale,nazionale,10,5,3,0.408574,0.408574,0.71902,m1,0.6766,0.405745,0.214085,0.002828
run6-tbt-10s/nazionale,nazionale,10,6,0,0.0,0.0,0.0,,,0.40526,0.212106,-0.40526
