height,host,balance
110,c1,99.804
110,c2,99.804
110,c3,99.8038
110,c4,99.8038
110,c5,99.8042
110,m1,4.3389
110,m2,21.0262
110,m3,40.0977
110,ca,49.3566
120,c1,99.6072
120,c2,99.6628
120,c3,99.7186
120,c4,99.7188
120,c5,99.7192
120,m1,104.2629
120,m2,21.9798
120,m3,40.0217
120,ca,49.3566
129,c1,99.3842
129,c2,99.4956
129,c3,99.6072
129,c4,99.6074
129,c5,99.6634
129,m1,6.9919
129,m2,9.9265
129,m3,32.2964
129,ca,49.3566
138,c1,99.1606
138,c2,99.384
138,c3,99.4956
138,c4,99.5516
138,c5,99.6076
138,m1,7.1838
138,m2,45.0198
138,m3,26.1159
138,ca,49.3566
146,c1,98.9366
146,c2,99.2162
146,c3,99.384
146,c4,99.44
146,c5,99.552
146,m1,7.4793
146,m2,19.1627
146,m3,21.2477
146,ca,49.3566
154,c1,98.7688
154,c2,99.1044
154,c3,99.2726
154,c4,99.3842
154,c5,99.4406
154,m1,108.5037
154,m2,119.0867
154,m3,21.1717
154,ca,49.3566
163,c1,98.5448
163,c2,98.9366
163,c3,99.1606
163,c4,99.2724
163,c5,99.385
163,m1,7.5096
163,m2,49.0367
163,m3,17.2922
163,ca,49.3566
170,c1,98.321
170,c2,98.8248
170,c3,99.0488
170,c4,99.2164
170,c5,99.3294
170,m1,7.2007
170,m2,21.1021
170,m3,94.9961
170,ca,49.3566
178,c1,98.097
178,c2,98.6568
178,c3,98.9368
178,c4,99.1044
178,c5,99.2734
178,m1,107.2007
178,m2,21.8689
178,m3,94.5579
178,ca,49.3566
186,c1,97.8732
186,c2,98.545
186,c3,98.825
186,c4,99.0486
186,c5,99.2174
186,m1,7.3294
186,m2,10.1046
186,m3,75.9811
186,ca,49.3566
195,c1,97.7054
195,c2,98.3772
195,c3,98.769
195,c4,98.9366
195,c5,99.1056
195,m1,7.0953
195,m2,45.1968
195,m3,61.1397
195,ca,49.3566
204,c1,97.4816
204,c2,98.2652
204,c3,98.657
204,c4,98.8808
204,c5,99.0498
204,m1,7.063
204,m2,19.1678
204,m3,61.1397
204,ca,49.3566
212,c1,97.2582
212,c2,98.0974
212,c3,98.545
212,c4,98.7688
212,c5,98.9938
212,m1,108.2652
212,m2,119.0624
212,m3,49.1612
212,ca,49.3566
220,c1,97.0342
220,c2,97.9856
220,c3,98.4332
220,c4,98.7128
220,c5,98.9378
220,m1,7.1263
220,m2,49.4881
220,m3,39.684
220,ca,49.3566
228,c1,96.8664
228,c2,97.8178
228,c3,98.3212
228,c4,98.601
228,c5,98.8818
228,m1,107.8365
228,m2,49.4881
228,m3,39.5784
228,ca,49.3566
236,c1,96.6432
236,c2,97.706
236,c3,98.2094
236,c4,98.545
236,c5,98.7698
236,m1,8.0518
236,m2,20.8414
236,m3,32.5147
236,ca,49.3566
245,c1,96.4194
245,c2,97.538
245,c3,98.0974
245,c4,98.433
245,c5,98.7138
245,m1,7.067
245,m2,10.1134
245,m3,25.8847
245,ca,49.3566
253,c1,96.1954
253,c2,97.426
253,c3,97.9856
253,c4,98.377
253,c5,98.658
253,m1,7.2029
253,m2,45.5473
253,m3,21.0628
253,ca,49.3566
262,c1,95.9716
262,c2,97.258
262,c3,97.8738
262,c4,98.2652
262,c5,98.602
262,m1,107.9897
262,m2,45.6889
262,m3,20.9866
262,ca,49.3566
270,c1,95.8036
270,c2,97.146
270,c3,97.762
270,c4,98.2092
270,c5,98.4904
270,m1,7.6285
270,m2,19.4864
270,m3,17.0387
270,ca,49.3566
278,c1,95.5796
278,c2,96.9782
278,c3,97.706
278,c4,98.0972
278,c5,98.4344
278,m1,6.9843
278,m2,48.9494
278,m3,93.9858
278,ca,49.3566
286,c1,95.356
286,c2,96.8104
286,c3,97.594
286,c4,98.0412
286,c5,98.3784
286,m1,107.6697
286,m2,49.4976
286,m3,93.9548
286,ca,49.3566
294,c1,95.1322
294,c2,96.6986
294,c3,97.482
294,c4,97.9292
294,c5,98.3224
294,m1,7.6439
294,m2,20.819
294,m3,75.5186
294,ca,49.3566
301,c1,94.9086
301,c2,96.5306
301,c3,97.3702
301,c4,97.8732
301,c5,98.2664
301,m1,7.1222
301,m2,20.819
301,m3,75.5186
301,ca,49.3566
310,c1,94.7406
310,c2,96.4186
310,c3,97.2582
310,c4,97.7616
310,c5,98.1544
310,m1,107.7682
310,m2,9.3758
310,m3,61.3473
310,ca,49.3566
319,c1,94.5168
319,c2,96.2512
319,c3,97.1462
319,c4,97.7056
319,c5,98.0984
319,m1,7.8911
319,m2,44.8151
319,m3,49.4686
319,ca,49.3566
327,c1,94.293
327,c2,96.1394
327,c3,97.0344
327,c4,97.5936
327,c5,98.0424
327,m1,7.4736
327,m2,19.0808
327,m3,39.9297
327,ca,49.3566
335,c1,94.0682
335,c2,95.9714
335,c3,96.9224
335,c4,97.5378
335,c5,97.9864
