height,epoch,miner,balance,sent
110,10,m3,49.6786,9.5357
110,10,m2,49.6786,28.6072
110,10,m1,49.6788,45.2949
122,11,m3,40.0217,7.6043
122,11,m2,21.9798,11.9879
122,11,m1,104.2629,97.1498
132,12,m3,32.2964,6.0593
132,12,m1,106.9919,99.7423
132,12,m2,109.9265,64.7559
144,13,m3,26.1159,4.8232
144,13,m2,45.0198,25.8119
144,13,m1,107.5428,100.2657
157,14,m3,21.1717,3.8343
157,14,m2,119.0867,70.2520
157,14,m1,108.6155,101.2847
168,15,m3,117.8856,23.1771
168,15,m2,49.0367,28.2220
168,15,m1,107.5096,100.2341
180,16,m3,94.5579,18.5116
180,16,m2,22.0929,12.0557
180,16,m1,107.2007,99.9407
194,17,m3,75.9811,14.7962
194,17,m2,110.1046,64.8628
194,17,m1,108.355,101.0373
204,18,m2,45.0324,25.8194
204,18,m1,108.2887,100.9743
206,18,m3,61.1397,11.8279
217,19,m3,49.1612,9.4322
217,19,m2,119.2862,70.3717
217,19,m1,108.377,101.0581
230,20,m3,39.5784,7.5157
230,20,m2,49.4881,28.4929
230,20,m1,108.0041,100.7039
241,21,m3,31.9121,5.9824
241,21,m2,20.8414,11.3048
241,21,m1,108.3766,101.0578
252,22,m3,25.8847,4.7769
252,22,m2,110.9812,65.3887
252,22,m1,106.961,99.7129
265,23,m3,20.9866,3.7973
265,23,m2,45.6889,26.2133
265,23,m1,108.1573,100.8494
277,24,m3,117.0387,23.0077
277,24,m2,119.4864,70.4918
277,24,m1,108.4787,101.1548
289,25,m3,93.9548,18.3910
289,25,m2,49.4976,28.4986
289,25,m1,107.9495,100.6520
300,26,m1,108.4071,101.0867
302,26,m3,75.5186,14.7037
302,26,m2,20.819,11.2914
314,27,m3,61.3473,11.8695
314,27,m2,109.3758,64.4255
314,27,m1,107.9812,100.6821
325,28,m3,49.4686,9.4937
325,28,m2,44.8151,25.6891
325,28,m1,108.3277,101.0113
336,29,m3,39.8537,7.5707
336,29,m2,119.0808,70.2485
336,29,m1,108.3012,100.9861
348,30,m1,107.9331,100.6364
350,30,m3,32.2178,6.0436
350,30,m2,49.2769,28.3661
362,31,m3,26.2194,4.8439
362,31,m2,20.7598,11.2559
362,31,m1,108.3999,101.0799
373,32,m3,21.2247,3.8449
373,32,m2,109.2347,64.3408
373,32,m1,108.67,101.3365
384,33,m3,117.285,23.0570
384,33,m2,45.4309,26.0585
384,33,m1,107.7101,100.4246
399,34,m3,94.295,18.4590
399,34,m2,119.534,70.5204
399,34,m1,108.2123,100.9017
409,35,m3,75.6852,14.7370
409,35,m2,48.8628,28.1177
409,35,m1,108.4418,101.1197
420,36,m3,60.7384,11.7477
420,36,m2,21.0533,11.4320
421,36,m1,108.0529,100.7503
434,37,m3,48.9251,9.3850
434,37,m2,109.4099,64.4459
434,37,m1,108.734,101.3973
444,38,m3,39.4951,7.4990
444,38,m2,45.4686,26.0812
444,38,m1,108.0433,100.7411
456,39,m2,118.9272,70.1563
459,39,m3,31.8453,5.9691
459,39,m1,108.5532,101.2255
470,40,m3,25.9388,4.7878
470,40,m2,49.0391,28.2235
470,40,m1,107.8947,100.6000
481,41,m3,21.0002,3.8000
481,41,m2,20.833,11.2998
481,41,m1,108.3705,101.0520
492,42,m3,117.2904,23.0581
492,42,m2,110.0872,64.8523
492,42,m1,107.5391,100.2621
506,43,m3,94.1111,18.4222
506,43,m2,45.0843,25.8506
506,43,m1,108.7152,101.3794
518,44,m3,76.1389,14.8278
518,44,m2,119.7111,70.6267
518,44,m1,107.3396,100.0726
529,45,m3,61.4341,11.8868
529,45,m2,49.1966,28.3180
529,45,m1,107.9174,100.6215
541,46,m3,49.3965,9.4793
541,46,m2,20.7546,11.2528
541,46,m1,108.2891,100.9746
554,47,m3,39.7664,7.5533
554,47,m2,109.1148,64.2689
554,47,m1,108.7271,101.3907
565,48,m3,32.0917,6.0183
565,48,m2,45.8065,26.2839
565,48,m1,107.3836,100.1144
