host,height,besthash,hash_a_523,peers,balance
admin,529,0081e988dd0e01fd50830a01b1492e5f6cc408d5c6b4cbe20896249ff16dd4b3,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,999263.5639
m1,529,0081e988dd0e01fd50830a01b1492e5f6cc408d5c6b4cbe20896249ff16dd4b3,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,7.0735
m2,529,0081e988dd0e01fd50830a01b1492e5f6cc408d5c6b4cbe20896249ff16dd4b3,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,20.8334
m3,529,0081e988dd0e01fd50830a01b1492e5f6cc408d5c6b4cbe20896249ff16dd4b3,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,49.5021
c1,529,0081e988dd0e01fd50830a01b1492e5f6cc408d5c6b4cbe20896249ff16dd4b3,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,89.2376
c2,529,0081e988dd0e01fd50830a01b1492e5f6cc408d5c6b4cbe20896249ff16dd4b3,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,92.7216
c3,529,00b7a3cb155500e67ea22773218f960d3c1528cbfef49213637e91a583cce960,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,94.5162
c4,530,00b7a3cb155500e67ea22773218f960d3c1528cbfef49213637e91a583cce960,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,95.5794
c5,530,00b7a3cb155500e67ea22773218f960d3c1528cbfef49213637e91a583cce960,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,96.4204
ca,530,00b7a3cb155500e67ea22773218f960d3c1528cbfef49213637e91a583cce960,00246b61d3cb8f74afaa076a91fe9240bd2f0fd3c99d06c29f6c2a6c92d57ee4,9,49.3566
