send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
34,1,m3,51.418,9.8836,35
34,1,m1,49.8894,45.4949,35
34,1,m2,49.8894,28.7336,35
100,2,m1,106.6625,99.4294,101
100,2,m2,23.7864,13.0718,101
100,2,m3,46.501,8.9002,101
200,3,m1,115.4111,107.7405,201
200,3,m2,117.088,69.0528,201
200,3,m3,40.6418,7.7284,201
300,4,m1,124.5824,116.4533,301
300,4,m2,52.5758,30.3455,301
300,4,m3,33.5064,6.3013,301
400,5,m2,25.1493,13.8896,401
400,5,m1,124.1247,116.0185,401
400,5,m3,30.1235,5.6247,401
500,6,m2,116.2493,68.5496,501
500,6,m1,123.0808,115.0268,501
500,6,m3,26.9716,4.9943,501
600,7,m2,51.5645,29.7387,601
600,7,m1,125.2984,117.1335,601
600,7,m3,22.6981,4.1396,601
