height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
508,0036815970120b2d00223aa3f5c5c8a498ac4dc2c60fcab021f8c5fef2f4ef9f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690169,7,90,6,0
509,00b1d747fdc2d08d5cc10387e2c3590c77e7fc0901a28bab8bd46baf00ec76f2,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690181,5,89,6,0
510,005b85b8b27f1394231df38aef8edc1f565374a7b154fe01fb6129472740f3fd,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690196,6,88,6,0
511,005289532d2f50a5b19e3418eeb4f4ffe7746b1f10eeeec2f2bca5c069c4ff4f,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,m2,946690208,6,87,6,0
512,00043ef16959b379ec83b53eb9e49da21b46c2aebd3182b310b42fe1ca2dc7df,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,m3,946690217,4,86,6,0
513,0048ccf3f0f6c142471271b4ea8a2e9e51733b3cd74ec5adcb8be0f64d03aa4b,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690233,7,85,6,0
514,0093ef23c4b0eb42a2012780de97d0ae89ce58ec82446d8db05c6273d96fe424,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690242,5,84,6,0
515,00b8a8c7b4b0e6032a6d8a71a43a8c0a31b3d5c4070d2d0afcee5d7262573261,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690256,5,83,6,0
516,00e2ef35fba3d420cc9fba5c5e801519f04aa8b95eb63c49fae21e331d45fa37,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690266,6,82,6,0
517,00c3ea0cda3b6b412315eefd3055a4a7b4eae4181ccc218686a6df2dd8faad3f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690275,2,81,6,0
518,00ce7fdd6efa47e4e4ab8464248a0cc9b1cbdb52de4c6abc6fb487abc2e2a27f,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690286,5,80,6,0
519,00a0d0a2a9ff55a1bbc864ef660d43782cfd43b0b4c80c99fad6e40333413b9b,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,m1,946690292,4,79,6,0
