height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
161,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,1.55619243e-05,14.733,14.733,2000-01-01 00:27:01,0,run/data/m3/debug.log,1201
162,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,3.15313008e-06,13.769,13.769,2000-01-01 00:27:12,0,run/data/m1/debug.log,2942
162,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,3.17748901e-07,6.828,6.828,2000-01-01 00:27:10,0,run/data/m2/debug.log,2536
162,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,1.41776551e-05,14.700,14.700,2000-01-01 00:27:12,0,run/data/m3/debug.log,1216
163,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,3.23692557e-06,13.876,13.876,2000-01-01 00:27:19,0,run/data/m1/debug.log,2957
163,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.38242036e-05,14.750,14.750,2000-01-01 00:27:18,0,run/data/m2/debug.log,2763
163,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.57333245e-05,14.750,14.750,2000-01-01 00:27:20,0,run/data/m3/debug.log,1231
164,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,2.29589486e-06,12.858,12.858,2000-01-01 00:27:34,0,run/data/m1/debug.log,3189
164,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,2.07414289e-06,12.535,12.535,2000-01-01 00:27:34,0,run/data/m2/debug.log,2787
164,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.95345028e-06,14.393,14.393,2000-01-01 00:27:35,0,run/data/m3/debug.log,1262
165,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,8.17453724e-07,9.246,9.246,2000-01-01 00:27:47,0,run/data/m1/debug.log,3353
165,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,1.53538532e-07,5.742,5.742,2000-01-01 00:27:47,0,run/data/m2/debug.log,3103
165,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.32230275e-05,14.650,14.650,2000-01-01 00:27:48,0,run/data/m3/debug.log,1293
166,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,8.71067761e-06,14.786,14.786,2000-01-01 00:27:54,0,run/data/m1/debug.log,3391
166,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,6.10802081e-06,14.699,14.699,2000-01-01 00:27:53,0,run/data/m2/debug.log,3163
166,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,5.35689304e-05,14.800,14.800,2000-01-01 00:27:55,0,run/data/m3/debug.log,1315
167,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,1.76656091e-06,12.022,12.022,2000-01-01 00:28:10,0,run/data/m1/debug.log,3406
167,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,4.19501472e-06,14.242,14.242,2000-01-01 00:28:09,0,run/data/m2/debug.log,3288
167,2,0,m3,13dLyCBDhkFk9EvyBWMaksK6xny9AXSn7m75Nn,4.0404897e-06,14.189,14.189,2000-01-01 00:28:10,0,run/data/m3/debug.log,1330
168,2,0,m1,18JDemQBu6Vrxd4WjEuSr62wjZLUFXv5vbjJqL,1.39358567e-06,11.098,11.098,2000-01-01 00:28:22,0,run/data/m1/debug.log,3789
168,2,0,m2,1QzENiRJk8XJxu1SKwJtDLtjjCBGMHXU1zUaWc,4.90111133e-06,14.350,14.350,2000-01-01 00:28:23,0,run/data/m2/debug.log,3303
