height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
132,0078be919a9122eaf6d5cceaf81e93c981d3d39132e910e2208a75f8624b943f,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686767,7,42,12,0
133,00b3ac9ec292efa7859f0ed6f9da7b9aaf61e8e9229fc47b8e9dd650599397b8,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686784,10,41,12,0
134,007dea2441e916cbf4c7e2b8c30112d8204be9b3fbe937df156c5b7d5da02515,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686793,5,40,12,0
135,0069cbdcdaf49109471db831f138d0cf3ee9b73882c8bfc8eee051ff7e4969ff,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946686805,5,39,12,0
136,0029bf3476ba3b44c74d1f71da149ea13f978256cbdc8aef02cbf6e3a937c552,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686826,9,38,12,0
137,00e1db4ee55497934a5e01a1a1773ec82c2695d64e9db69c7122f4958c993cfd,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946686846,9,37,12,0
138,00870d4218f6d2914684042d1636f8f28e4d9eb8b885e9139774e80e0d8d1e6b,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946686865,9,36,12,0
139,00fed09704251a7919c9c0129fa05d9c3a7741628a2c35ec191d1672d21ced5b,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686877,6,35,12,0
140,00ac9051c9548e728a0c28fa0c01388bf8ca48d4b0a5713b9cdb564581bb71ca,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686899,8,34,12,0
141,00d23c9f8fc2dc168bffa849593189f692a62e7a69f903caaba4ef8935d0e424,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686908,5,33,12,0
142,0022db8820103e79b21c3daf0216d8f3ac11b3d73e8f51ff06264d4824689c07,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686924,7,32,12,0
143,0033996259d322ae34b537f30149376fedf09dd374e1c446d93c433b3b1bfcad,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946686941,9,31,12,0
144,008b0b71b812b8a368bf1e02ecd64ee4c3933034344da455f10abec92af20446,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686950,3,30,13,0
145,00a9b2e2cf4ac2efb10976d63e1d25ea17d51c3b88cc25f0940806637ccddd37,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686962,7,29,13,0
146,0005f45dbcf4311b18507f5a64bbe1d2078bb4fd0e6030e809047618e4642038,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946686979,7,28,13,0
147,00829e49b26f1ea9a96e421227ca74a8ac70bc88759f3dd813f66557eac08c02,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946686989,8,27,13,0
148,007c45f8379a69ee69d7a120433d1571fbd803dfe94928e3dad7d1ecaaf57af0,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,m3,946687011,7,26,13,0
149,00461f965197091765cea29cff6e24bd077692997a57bca971199bc433a7321d,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687025,8,25,13,0
150,0054bb0d0c86a157089e90b10743a74faacabebb29cf66a2fc7a342b3357eae7,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687038,5,24,13,0
151,001ac7199b3830ff4efbdeeb1be3c8f9e46ce516e5cd38875cb326cf4cf37355,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687053,7,23,13,0
152,002cfb84661ad66d09e21740d92b180ffecdd316c6292762ade2731091f82d17,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687073,8,22,13,0
153,0003a8984d90ea4085548c2517fd6504cc1e5f436ed08458e314f12788df748c,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687094,9,21,13,0
154,00a55a0bcd6b40f7c14190b44a3c933c769c2d556deb6ebbdcae7a6bacf1c28d,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687113,7,20,13,0
155,000f31e298879ac7021bf02a42ffd908af1985c03c449bb4afff2e21d42a66bc,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687133,8,19,13,0
156,00922b71f8f3bdc26eeac7521dc4578333f050cd01f0a6f6a3699e500a95fa2b,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,m2,946687143,6,18,14,0
157,00339afa99ccea87d41c919d1d8401b08cf46352cccb04a9f0332cba0f871e1b,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,m1,946687154,6,17,14,0
