txid,hosts_seen
3be6bdfb3bd0aae4ae9e1733c39e3b0e26b90f3425aaa5efaa103c95feb73a43,admin m1
854c718e06384fe87b9d81c57b119292208dbb917be5582c04b4714210ce57f6,admin m2
8578f4dc8af909cc515f81aae419b2bb53efd2a681b0d05aabea84b56b6eb427,c1
ec36ed55788bad9a050e048326c1d20ebd29e8d858d48d74c056c9af0fb0bd35,c2
