experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,cluster_head_host,cluster_head_address,n_epoch_pairs,n_distinct_rho_values,n_pairs_rho_equal_1,spearman_rho_e_vs_w_next,spearman_p,spearman_rho_e_vs_w_next_over_W_raw_next,spearman_p_control,spearman_R_k_vs_rho_k,spearman_p_R_vs_rho,note
run1-tbt-15s,nazionale,1,15,none,true,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,10,2,9,0.537086,0.109402,0.537086,0.109402,0.522233,0.121503,the control against w(e+1)/W_k(e+1) = kappa[rho lambda_w + 1 - lambda_w] is deterministic by Def. 6.9 (tautological check); with many ties at rho = 1 the coefficient is driven by the few epochs with incomplete reconciliation
run1-tbt-15s,nazionale,1,15,none,true,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,12,2,11,0.485504,0.109582,0.485504,0.109582,0.480384,0.113937,the control against w(e+1)/W_k(e+1) = kappa[rho lambda_w + 1 - lambda_w] is deterministic by Def. 6.9 (tautological check); with many ties at rho = 1 the coefficient is driven by the few epochs with incomplete reconciliation
run1-tbt-15s,nazionale,1,15,none,true,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,11,2,10,0.502288,0.115371,0.502288,0.115371,0.5,0.117307,the control against w(e+1)/W_k(e+1) = kappa[rho lambda_w + 1 - lambda_w] is deterministic by Def. 6.9 (tautological check); with many ties at rho = 1 the coefficient is driven by the few epochs with incomplete reconciliation
run1-tbt-15s,nazionale,1,15,none,true,all clusters pooled,,33,2,30,0.498867,0.003125,0.498867,0.003125,0.498325,0.003163,"pooled across clusters: w_k(e+1) mixes cluster sizes, so the pooled coefficient is dominated by the between-cluster ESG x activity differences, not by rho"
