host,height,besthash,hash_a_649,peers,balance
admin,655,004c02837d657e04cbb457865e3299bdf81e67ed94dd0019aab2dfca0a480050,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,999356.2551
m1,655,004c02837d657e04cbb457865e3299bdf81e67ed94dd0019aab2dfca0a480050,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,7.4365
m2,655,004c02837d657e04cbb457865e3299bdf81e67ed94dd0019aab2dfca0a480050,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,19.5235
m3,655,004c02837d657e04cbb457865e3299bdf81e67ed94dd0019aab2dfca0a480050,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,94.0781
c1,655,004c02837d657e04cbb457865e3299bdf81e67ed94dd0019aab2dfca0a480050,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,90.8126
c2,656,00c18efa10a42a62a3619012241d640a7076fe912caf0a702383ec3d9dbad34e,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,93.8448
c3,656,00c18efa10a42a62a3619012241d640a7076fe912caf0a702383ec3d9dbad34e,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,95.2996
c4,656,00c18efa10a42a62a3619012241d640a7076fe912caf0a702383ec3d9dbad34e,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,96.1958
c5,656,00c18efa10a42a62a3619012241d640a7076fe912caf0a702383ec3d9dbad34e,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,96.9232
ca,657,00e2bb4c0607e7e8965be74538506396d4cfd9b7a50afa5c679cb87b4cecef38,0007d177ff9c966ba439a204ace319f3182b3655caf3deb84821b30b085f41f1,9,49.357
