host,height,besthash,hash_at_reference,peers,balance_gas
admin,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,999208.9012
m1,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,108.4974
m2,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,120.0958
m3,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,61.8241
c1,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,77.9706
c2,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,85.2104
c3,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,88.8576
c4,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,91.0432
c5,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,92.838
ca,324,00de015e83d1fb7dde18819006985cf7b3150c256cbd3d0bf38330d5a4676009,003c9d0aa53af9f8a8b8c9612e7c023c146182feebe22a1a8aa842d4ec9c15db,9,49.3564
