send_height,kind,to_host,amount_gas
6,init,c1,100.0
6,init,c2,100.0
6,init,c3,100.0
6,init,c4,100.0
6,init,c5,100.0
6,init,m1,50.0
6,init,m2,50.0
6,init,m3,50.0
6,init,ca,50.0
34,refill,m1,100.0
36,refill,m1,100.0
36,refill,m2,100.0
49,refill,m1,100.0
61,refill,m1,100.0
72,refill,m1,100.0
72,refill,m2,100.0
72,refill,m3,100.0
85,refill,m1,100.0
97,refill,m1,100.0
97,refill,m2,100.0
109,refill,m1,100.0
120,refill,m1,100.0
133,refill,m1,100.0
133,refill,m2,100.0
145,refill,m1,100.0
158,refill,m1,100.0
170,refill,m1,100.0
170,refill,m2,100.0
181,refill,m1,100.0
181,refill,m3,100.0
192,refill,m1,100.0
192,refill,m2,100.0
205,refill,m1,100.0
219,refill,m1,100.0
229,refill,m1,100.0
229,refill,m2,100.0
242,refill,m1,100.0
254,refill,m1,100.0
254,refill,m2,100.0
266,refill,m1,100.0
279,refill,m1,100.0
289,refill,m1,100.0
289,refill,m2,100.0
289,refill,m3,100.0
300,refill,m1,100.0
314,refill,m1,100.0
314,refill,m2,100.0
325,refill,m1,100.0
