send_height,kind,to_host,amount_gas
6,init,c1,100.0
6,init,c2,100.0
6,init,c3,100.0
6,init,c4,100.0
6,init,c5,100.0
6,init,m1,50.0
6,init,m2,50.0
6,init,m3,50.0
6,init,ca,50.0
34,refill,m1,100.0
36,refill,m1,100.0
36,refill,m2,100.0
49,refill,m1,100.0
61,refill,m1,100.0
61,refill,m2,100.0
73,refill,m1,100.0
73,refill,m3,100.0
84,refill,m1,100.0
96,refill,m1,100.0
96,refill,m2,100.0
109,refill,m1,100.0
122,refill,m1,100.0
122,refill,m2,100.0
132,refill,m1,100.0
146,refill,m1,100.0
156,refill,m1,100.0
156,refill,m2,100.0
170,refill,m1,100.0
182,refill,m1,100.0
182,refill,m2,100.0
182,refill,m3,100.0
193,refill,m1,100.0
204,refill,m1,100.0
217,refill,m1,100.0
217,refill,m2,100.0
231,refill,m1,100.0
240,refill,m1,100.0
240,refill,m2,100.0
253,refill,m1,100.0
265,refill,m1,100.0
277,refill,m1,100.0
277,refill,m2,100.0
288,refill,m1,100.0
288,refill,m3,100.0
302,refill,m1,100.0
302,refill,m2,100.0
314,refill,m1,100.0
326,refill,m1,100.0
339,refill,m1,100.0
339,refill,m2,100.0
