host,height,besthash,hash_at_reference,peers,balance_gas
admin,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,999323.3477
m1,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,108.4157
m2,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,20.7966
m3,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,61.4566
c1,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,77.9716
c2,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,85.2638
c3,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,88.8532
c4,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,91.0456
c5,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,92.838
ca,329,005b86712ffd0fb54f8cf6b842c84f2421a7ca7639f8e9c7980e4e2ce7752d99,0035ad2241a0b5f693628f380b684834835da073ba21b974facbd04c3cde7a86,9,49.3566
