experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,model,H0,beta1,beta1_se,beta1_ci_low,beta1_ci_high,beta0,deviance,n_points,converged,note,beta1_ci_contains_1,pearson_r,pearson_p,spearman_rho,spearman_p
run4-tbt-3s,continentale,1,3,none,true,logit(p_hat) ~ b0 + b1*log(w_eff),b1 = 1 (proportional selection),2.13056296,0.12467888,1.88619236,2.37493356,-21.98597107,257.72347313,93,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run4-tbt-3s,continentale,1,3,none,true,logit(p_hat) ~ b0 + b1*log(p_theoretical),"b1 = 1, b0 = 0",2.22410757,0.12744547,1.97431445,2.4739007,1.94924098,236.90660184,93,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run4-tbt-3s,continentale,1,3,none,true,log(p_hat_i/p_hat_j) ~ a + b*log(w_i/w_j) (pairs x epochs),"b = 1, a = 0",0.87798195,,,,0.1259397,,44,,"H0 of proportionality: slope = 1, intercept = 0",,0.42324966,0.00420189,0.37435277,0.01229857
