experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run4-tbt-3s,continentale,1,3,none,true,20,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.82658129,0,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,21,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,-0.40546511,0.94495115,4,6,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,21,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,0.69314718,1.75967009,4,2,12,m1,m3,
run4-tbt-3s,continentale,1,3,none,true,21,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,1.09861229,0.81471894,6,2,12,m2,m3,
run4-tbt-3s,continentale,1,3,none,true,22,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,2.39789527,1.03340062,11,1,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,22,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.86251754,11,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,22,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.82911692,1,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,23,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,,0.99524105,12,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,23,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.78068021,12,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,23,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.78543916,0,0,12,m2,m3,not computable: a zero count in the epoch
