send_height,kind,to_host,amount_gas
19,init,c1,100.0
19,init,c2,100.0
19,init,c3,100.0
19,init,c4,100.0
19,init,c5,100.0
19,init,m1,50.0
19,init,m2,50.0
19,init,m3,50.0
19,init,ca,50.0
109,refill,m1,100.0
130,refill,m1,100.0
130,refill,m2,100.0
139,refill,m1,100.0
147,refill,m1,100.0
147,refill,m2,100.0
164,refill,m1,100.0
164,refill,m3,100.0
173,refill,m1,100.0
180,refill,m1,100.0
180,refill,m2,100.0
197,refill,m1,100.0
214,refill,m1,100.0
214,refill,m2,100.0
222,refill,m1,100.0
231,refill,m1,100.0
249,refill,m1,100.0
249,refill,m2,100.0
258,refill,m1,100.0
268,refill,m1,100.0
268,refill,m2,100.0
268,refill,m3,100.0
286,refill,m1,100.0
294,refill,m1,100.0
304,refill,m1,100.0
304,refill,m2,100.0
321,refill,m1,100.0
329,refill,m1,100.0
329,refill,m2,100.0
337,refill,m1,100.0
353,refill,m1,100.0
361,refill,m1,100.0
361,refill,m2,100.0
378,refill,m1,100.0
378,refill,m3,100.0
386,refill,m1,100.0
386,refill,m2,100.0
403,refill,m1,100.0
412,refill,m1,100.0
428,refill,m1,100.0
428,refill,m2,100.0
437,refill,m1,100.0
445,refill,m1,100.0
445,refill,m2,100.0
463,refill,m1,100.0
472,refill,m1,100.0
490,refill,m1,100.0
490,refill,m2,100.0
490,refill,m3,100.0
498,refill,m1,100.0
505,refill,m1,100.0
514,refill,m2,100.0
523,refill,m1,100.0
531,refill,m1,100.0
540,refill,m2,100.0
548,refill,m1,100.0
556,refill,m1,100.0
564,refill,m1,100.0
564,refill,m2,100.0
