send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
109,10,m2,51.524,29.7144,110
109,10,m3,49.6786,9.5357,110
109,10,m1,49.6786,45.2947,110
122,11,m2,21.6884,11.813,123
122,11,m1,105.1363,97.9795,123
122,11,m3,40.0217,7.6043,123
132,12,m3,33.0048,6.201,133
132,12,m2,109.7544,64.6526,133
132,12,m1,107.0356,99.7838,133
145,13,m3,27.1336,5.0267,146
145,13,m2,45.2044,25.9226,146
145,13,m1,107.343,100.0759,146
158,14,m3,21.9861,3.9972,159
158,14,m2,119.975,70.785,159
158,14,m1,107.7357,100.4489,159
170,15,m2,49.0954,28.2572,171
170,15,m3,117.8679,23.1736,171
170,15,m1,108.4318,101.1102,171
180,16,m3,94.5437,18.5087,181
180,16,m2,22.2036,12.1222,181
180,16,m1,106.9348,99.6881,181
194,17,m3,75.99,14.798,195
194,17,m2,109.665,64.599,195
194,17,m1,108.8055,101.4652,195
206,18,m3,61.071,11.8142,207
206,18,m2,45.0208,25.8125,207
206,18,m1,108.5033,101.1781,207
218,19,m3,49.1062,9.4212,219
218,19,m2,119.7121,70.6273,219
218,19,m1,107.9002,100.6052,219
230,20,m3,39.5638,7.5128,231
230,20,m2,48.9902,28.1941,231
230,20,m1,108.3394,101.0224,231
242,21,m3,32.0978,6.0196,243
242,21,m2,20.6455,11.1873,243
242,21,m1,108.3054,100.9901,243
252,22,m3,25.9574,4.7915,253
252,22,m2,110.4988,65.0993,253
253,22,m1,107.2689,100.0055,254
265,23,m3,21.0149,3.803,266
265,23,m2,45.5849,26.1509,266
265,23,m1,108.1134,100.8077,266
277,24,m3,117.1669,23.0334,278
277,24,m2,119.3888,70.4333,278
277,24,m1,108.2585,100.9456,278
290,25,m3,94.1243,18.4249,291
290,25,m2,48.8047,28.0828,291
290,25,m1,108.4129,101.0923,291
302,26,m3,76.1704,14.8341,303
302,26,m2,20.6009,11.1605,303
302,26,m1,107.7988,100.5089,303
312,27,m3,61.2025,11.8405,313
312,27,m2,109.262,64.3572,313
312,27,m1,108.4761,101.1523,313
324,28,m1,108.1814,100.8723,325
326,28,m3,49.297,9.4594,327
326,28,m2,44.9964,25.7978,327
337,29,m3,39.6868,7.5374,338
337,29,m2,119.9064,70.7438,338
337,29,m1,107.9619,100.6638,338
348,30,m3,32.1044,6.0209,349
348,30,m2,49.7086,28.6252,349
348,30,m1,107.6267,100.3454,349
361,31,m3,25.9623,4.7925,362
361,31,m2,21.378,11.6268,362
361,31,m1,108.0491,100.7466,362
374,32,m3,21.019,3.8038,375
374,32,m2,109.4406,64.4644,375
374,32,m1,108.8627,101.5196,375
385,33,m3,117.2398,23.048,386
385,33,m2,45.765,26.259,386
385,33,m1,107.5153,100.2395,386
396,34,m3,94.1466,18.4293,397
396,34,m2,119.3846,70.4308,397
396,34,m1,108.3172,101.0013,397
410,35,m3,75.7533,14.7507,411
410,35,m2,48.8028,28.0817,411
410,35,m1,108.4283,101.1069,411
422,36,m3,60.7338,11.7468,423
422,36,m2,21.1457,11.4874,423
422,36,m1,108.0514,100.7488,423
433,37,m3,49.0044,9.4009,434
433,37,m2,109.3893,64.4336,434
433,37,m1,108.4292,101.1077,434
444,38,m3,39.6703,7.5341,445
444,38,m2,44.8049,25.6829,445
444,38,m1,108.2347,100.923,445
456,39,m3,32.0148,6.003,457
456,39,m2,119.8718,70.7231,457
456,39,m1,107.6145,100.3338,457
470,40,m3,25.9728,4.7946,471
470,40,m2,49.4493,28.4696,471
471,40,m1,108.1849,100.8757,472
482,41,m3,21.7182,3.9436,483
482,41,m2,20.8289,11.2973,483
482,41,m1,107.6936,100.4089,483
493,42,m3,117.6236,23.1247,494
493,42,m2,109.9522,64.7713,494
493,42,m1,107.8795,100.5855,494
504,43,m1,107.833,100.5413,505
506,43,m3,94.4601,18.492,507
506,43,m2,45.6791,26.2075,507
517,44,m3,76.5725,14.9145,518
517,44,m2,119.3206,70.3924,518
517,44,m1,107.8815,100.5874,518
528,45,m3,61.3888,11.8778,529
528,45,m2,49.1852,28.3111,529
528,45,m1,108.2479,100.9355,529
540,46,m2,21.4487,11.6692,541
542,46,m3,49.5738,9.5148,543
542,46,m1,107.4496,100.1771,543
553,47,m3,39.908,7.5816,554
553,47,m2,110.1117,64.867,554
553,47,m1,108.1913,100.8817,554
564,48,m3,32.2814,6.0563,565
564,48,m2,45.0939,25.8563,565
564,48,m1,108.3924,101.0728,565
