tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
155,156,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:08,3,run/data/m1/debug.log,4100
155,156,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:08,3,run/data/m2/debug.log,2854
155,156,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:09,3,run/data/m3/debug.log,1432
156,157,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:13,2,run/data/admin/debug.log,992
156,157,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:11,3,run/data/m1/debug.log,4135
156,157,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:10,3,run/data/m2/debug.log,3028
156,157,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:11,3,run/data/m3/debug.log,1447
157,158,admin,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:18,2,run/data/admin/debug.log,1006
157,158,m1,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:14,3,run/data/m1/debug.log,4150
157,158,m2,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:13,3,run/data/m2/debug.log,4695
157,158,m3,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:14,3,run/data/m3/debug.log,1462
158,159,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:22,5,run/data/admin/debug.log,1020
158,159,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:19,6,run/data/m1/debug.log,4165
158,159,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:18,6,run/data/m2/debug.log,5378
158,159,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:19,6,run/data/m3/debug.log,1477
159,160,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:25,2,run/data/admin/debug.log,1050
159,160,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:22,3,run/data/m1/debug.log,4375
159,160,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:22,3,run/data/m2/debug.log,5454
159,160,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:23,3,run/data/m3/debug.log,1509
