experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run2-tbt-10s,intercontinentale,1,10,none,true,7,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,,2.17393834,6,0,12,not computable: a zero count in the epoch,m1,m3
run2-tbt-10s,intercontinentale,1,10,none,true,7,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,0.0,1.01467216,6,6,12,,m1,m2
run2-tbt-10s,intercontinentale,1,10,none,true,7,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,,-1.15926618,0,6,12,not computable: a zero count in the epoch,m3,m2
run2-tbt-10s,intercontinentale,1,10,none,true,8,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,,2.22144024,10,0,12,not computable: a zero count in the epoch,m1,m3
run2-tbt-10s,intercontinentale,1,10,none,true,8,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.60943791,0.96378292,10,2,12,,m1,m2
run2-tbt-10s,intercontinentale,1,10,none,true,8,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,,-1.25765732,0,2,12,not computable: a zero count in the epoch,m3,m2
run2-tbt-10s,intercontinentale,1,10,none,true,9,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,,2.09828716,7,0,12,not computable: a zero count in the epoch,m1,m3
run2-tbt-10s,intercontinentale,1,10,none,true,9,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,0.33647224,0.94133096,7,5,12,,m1,m2
run2-tbt-10s,intercontinentale,1,10,none,true,9,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,,-1.1569562,0,5,12,not computable: a zero count in the epoch,m3,m2
run2-tbt-10s,intercontinentale,1,10,none,true,10,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,,2.19707498,9,0,12,not computable: a zero count in the epoch,m1,m3
run2-tbt-10s,intercontinentale,1,10,none,true,10,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.09861229,0.99386758,9,3,12,,m1,m2
