height,host,balance
34,c1,99.8044
34,c2,99.8044
34,c3,99.8042
34,c4,99.8046
34,c5,99.8044
34,m1,4.4364
34,m2,21.0685
34,m3,40.1818
34,ca,49.3566
36,c1,99.6082
36,c2,99.6636
36,c3,99.719
36,c4,99.7196
36,c5,99.7192
36,m1,7.4179
36,m2,9.5824
36,m3,32.5002
36,ca,49.3566
40,c1,99.386
40,c2,99.497
40,c3,99.6082
40,c4,99.6084
40,c5,99.6636
40,m1,107.9459
40,m2,109.5824
40,m3,32.5002
40,ca,49.3566
42,c1,99.1632
42,c2,99.3858
42,c3,99.4972
42,c4,99.5528
42,c5,99.608
42,m1,108.0069
42,m2,109.4768
42,m3,32.3946
42,ca,49.3566
45,c1,98.9406
45,c2,99.2188
45,c3,99.386
45,c4,99.4418
45,c5,99.5524
45,m1,108.0069
45,m2,110.3498
45,m3,32.3946
45,ca,49.3566
49,c1,98.7734
49,c2,99.1072
49,c3,99.2748
49,c4,99.3862
49,c5,99.4414
49,m1,7.1326
49,m2,45.2947
49,m3,26.6263
49,ca,49.3566
52,c1,98.5502
52,c2,98.94
52,c3,99.1632
52,c4,99.2748
52,c5,99.3858
52,m1,107.3554
52,m2,45.9571
52,m3,26.6263
52,ca,49.3566
55,c1,98.327
55,c2,98.8284
55,c3,99.0518
55,c4,99.219
55,c5,99.3302
55,m1,107.584
55,m2,46.4181
55,m3,26.5503
55,ca,49.3566
58,c1,98.104
58,c2,98.6612
58,c3,98.9402
58,c4,99.1076
58,c5,99.2746
58,m1,107.584
58,m2,46.7525
58,m3,26.8843
58,ca,49.3566
61,c1,97.8812
61,c2,98.5498
61,c3,98.8286
61,c4,99.0518
61,c5,99.2188
61,m1,7.175
61,m2,19.8558
61,m3,22.4645
61,ca,49.3566
64,c1,97.714
64,c2,98.3824
64,c3,98.7728
64,c4,98.9402
64,c5,99.1072
64,m1,107.175
64,m2,119.8558
64,m3,23.0283
64,ca,49.3566
67,c1,97.4908
67,c2,98.2712
67,c3,98.6612
67,c4,98.8844
67,c5,99.0514
67,m1,107.9702
67,m2,119.7796
67,m3,23.1459
67,ca,49.3566
70,c1,97.2676
70,c2,98.1044
70,c3,98.5496
70,c4,98.7732
70,c5,98.9956
70,m1,108.3604
70,m2,119.7796
70,m3,23.1459
70,ca,49.3566
73,c1,97.0446
73,c2,97.9928
73,c3,98.438
73,c4,98.7174
73,c5,98.9398
73,m1,7.3939
73,m2,49.0668
73,m3,18.8715
73,ca,49.3566
75,c1,96.8774
75,c2,97.8254
75,c3,98.3264
75,c4,98.606
75,c5,98.884
75,m1,108.0757
75,m2,49.0668
75,m3,118.8715
75,ca,49.3566
78,c1,96.6546
78,c2,97.714
78,c3,98.215
78,c4,98.5502
78,c5,98.7726
78,m1,108.6129
78,m2,49.3454
78,m3,118.7661
78,ca,49.3566
81,c1,96.4318
81,c2,97.5468
81,c3,98.1036
81,c4,98.4386
81,c5,98.717
81,m1,109.4071
81,m2,49.3454
81,m3,118.7661
81,ca,49.3566
84,c1,96.2086
84,c2,97.4354
84,c3,97.9922
84,c4,98.3828
84,c5,98.6614
84,m1,7.002
84,m2,20.893
84,m3,95.3677
84,ca,49.3566
87,c1,95.9856
87,c2,97.2682
87,c3,97.8806
87,c4,98.2712
87,c5,98.6056
87,m1,108.0378
87,m2,20.893
87,m3,95.3677
87,ca,49.3566
90,c1,95.8186
90,c2,97.1566
90,c3,97.8248
90,c4,98.2154
90,c5,98.4942
90,m1,108.1552
90,m2,21.2334
90,m3,95.3677
90,ca,49.3566
93,c1,95.5958
93,c2,96.9894
93,c3,97.7132
93,c4,98.104
93,c5,98.4386
93,m1,108.1552
93,m2,22.058
93,m3,95.3677
93,ca,49.3566
96,c1,95.3732
96,c2,96.8778
96,c3,97.6016
96,c4,98.0484
96,c5,98.3828
96,m1,7.1555
96,m2,9.9276
96,m3,76.413
96,ca,49.3566
99,c1,95.1504
99,c2,96.7104
99,c3,97.4902
99,c4,97.937
99,c5,98.327
99,m1,107.4341
99,m2,110.9928
99,m3,76.413
99,ca,49.3566
101,c1,94.9826
101,c2,96.5984
101,c3,97.3784
101,c4,97.881
101,c5,98.2712
101,m1,108.1097
101,m2,110.8868
101,m3,76.3074
101,ca,49.3566
104,c1,94.759
104,c2,96.4308
104,c3,97.2664
104,c4,97.7694
104,c5,98.1592
104,m1,108.1097
104,m2,111.7076
104,m3,76.3074
104,ca,49.3566
107,c1,94.5354
107,c2,96.263
107,c3,97.1546
107,c4,97.7136
107,c5,98.1032
107,m1,108.7803
107,m2,111.7076
107,m3,76.3074
107,ca,49.3566
109,c1,94.312
109,c2,96.151
109,c3,97.0426
109,c4,97.602
109,c5,98.0472
109,m1,7.028
109,m2,46.0054
109,m3,61.6246
109,ca,49.3566
112,c1,94.0872
112,c2,95.983
112,c3,96.9306
112,c4,97.546
112,c5,97.9912
112,m1,108.3702
112,m2,46.0054
112,m3,61.6246
112,ca,49.3566
115,c1,93.8624
115,c2,95.871
115,c3,96.8188
115,c4,97.434
115,c5,97.9352
115,m1,109.0008
115,m2,45.8994
115,m3,61.5486
115,ca,49.3566
118,c1,93.6938
118,c2,95.7032
118,c3,96.7628
118,c4,97.3782
118,c5,97.8234
118,m1,109.5048
118,m2,45.8994
118,m3,61.829
118,ca,49.3566
122,c1,93.469
122,c2,95.5912
122,c3,96.6508
