send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
34,1,m2,49.8894,28.7336,35
34,1,m1,49.8892,45.4947,35
34,1,m3,51.4184,9.8837,35
100,2,m2,24.0988,13.2593,101
100,2,m3,46.3867,8.8773,101
100,2,m1,107.6351,100.3533,101
200,3,m1,115.1482,107.4908,201
200,3,m2,116.5179,68.7107,201
200,3,m3,39.993,7.5986,201
300,4,m1,121.8194,113.8284,301
300,4,m2,54.1488,31.2893,301
300,4,m3,33.379,6.2758,301
400,5,m2,28.4349,15.8609,401
400,5,m3,28.1126,5.2225,401
400,5,m1,123.5186,115.4427,401
500,6,m2,114.3986,67.4392,501
500,6,m3,22.7093,4.1419,501
500,6,m1,127.8597,119.5667,501
600,7,m2,53.2762,30.7657,601
600,7,m3,120.7686,23.7537,601
600,7,m1,122.5504,114.5229,601
