txid,hosts_seen
769eaef1098b4ab370ae2a969b5d236b40b74cce8d274a7113e75e0b9c0ef721,c3
773cd7244fd56c22226326d8cc74e85182a5f8605cb6e18c3c731aa90501f73f,c1
b7bf0198fb9ea4fd4fdd063afcd81b6ecd6877c57a64efa895bbc4874c46a7db,c2
