height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
375,00bdab60f7af19918c51f1987e1d25f8779c5945aa053be194d303486210c094,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688696,6,228,4,0
376,00e4714e5bba972caafd66a395cc20e9e08e738b5b5bdfb039fdccf6f743a2c7,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946688705,3,227,4,0
377,003d87e194d01f100d44036f4ab2afe75df9c46ff2816de57b0e36aa7e0cc802,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688719,7,226,4,0
378,001a65f2fada2a29a41096f4cc18d44a5090db2c4455b4726bffb83ec2f68f10,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688732,5,225,4,0
379,008023ba2b65bed5f767739a334125889e20a9bd9871f4eb2f362138627afcda,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688747,7,224,4,0
380,00d0987ff6d26cb0e1d36f9bf93cc46b6e387c210c2fe71a3303b89e3ab885bd,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688756,3,223,4,0
381,009de4beaa54f8a5bb57c6902cf5cfcc7afccf477fc3cdff0d605b273cf5c50b,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688767,7,222,4,0
382,00c5d1b9ffcf3de134ce5d38b42510447c3e5c791e1d5f9cddd0a21fe2d51625,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688781,5,221,4,0
383,00fa8314009851ad955374a1579133c53060ed8a33ab840190a8452346c0e46f,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688791,6,220,4,0
384,00d47e0323d27e5e6b54b1f0edd4864f1132ea84394245fb959db1756561f267,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688798,2,219,4,0
385,00da711231a2538a278dfaa52d5a8d3fa0790f303fa932eb70fb8b83550cbc7d,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688813,6,218,4,0
386,00f3fb4d20f0fa81cc36256e3bcaee572e850f8a1c1987c9fc00f4a394917111,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688821,5,217,4,0
387,00611d036281029ed3014eb1e85d24ae8d1351fd341014c77adc8fa3ee4cdad9,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688834,4,216,4,0
388,005e2f84288a2df4e4935986dd7cb2d1ec2b99aaacf7d7ba12112f67aaa3aee0,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688846,7,215,4,0
389,002be03d57d454f1ff2aa9a9befc3baa592b4cd1c33d9cd21510264bc40554c9,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688861,5,214,4,0
390,0079f428a9fea5a1d1237557e7920a22b40408f29e4c49423e5a088ce389d7ce,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946688868,4,213,4,0
391,008bf042f323c806a8a7e6666427787133314bf440167418b70ad770e349f010,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688881,6,212,4,0
392,0045dc1bd19068ed267d2b3d96042e38eda781ead34ade04c14b941d6835a076,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688896,6,211,4,0
393,005835a19d1d3e81e30cab6336c038703e8f56c4a5f8c2cc0df699604934548c,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688901,4,210,4,0
394,0094b70da70ae0e3670e5675f7145c4b7e34458499812d469bbd6cc0c7981da4,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688911,4,209,4,0
395,000347ea2b046e5ee2601dfce71e701c90c95a8991cf55b3346bd0d2f6438a0e,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946688918,4,208,4,0
396,0079638705ef4eaee00adddaee0afe01e03a3a85c69552bd753e3ddb94419f3b,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688933,7,207,4,0
397,00ff67b4e29e0546406bde05fc5c5adc1c7248abac9b044571c8d7148db6b219,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688944,5,206,4,0
398,00b887bf4d3608c90129f3c39a16349d27de8d3aaea7de76a7f39f79bba7582b,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688955,4,205,4,0
399,005d697c1426310dfa49b0d7c4a3f558ab611bc90301c4523cfdc42df5d96d08,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688964,4,204,4,0
400,00b101414679b12fc1e432f926c5131a7ee6d7f845334077f0831bfccc9aa3bd,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688976,6,203,5,0
401,0084a8399dcaeb8fca37c231609517fe64aee414346d023c3425b5fdb608c3a1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946688989,8,202,5,0
402,00f36f82c9f8fbcff81383c98bc546154c81624b0a8244e8dd17817df5e1405a,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,m3,946688998,6,201,5,0
403,00702b21dfdd0499b3509bf082dea6711ae600c0986765822d8ee730fd900e7a,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689009,6,200,5,0
404,005dd4e25ac08be7e6624891bd7e52f5903114f58e783bc9ea23b0151fe1438f,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,m3,946689015,3,199,5,0
405,0068fdb4329afa74ae5747d8fc9496f4ec90be957e2cdff4d688c902fa13ad5f,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689027,5,198,5,0
406,0038f088b8546171d60bab9615c5541937a8a9102fc9c0aac7907ecc0ff0fbf4,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689034,6,197,5,0
407,00b247a1a71da6373f0d6c98e4f71657163037f9178df38579b2a875916eb879,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689048,7,196,5,0
408,00ddd2cfb68613213107666fa6119d219f115c5b18fd19b7564e7ef5c41e1cfc,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689063,6,195,5,0
409,00f8cc01991df90a614821d65bc9747b38ce68d96b7fecfa3a161516f0b38749,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689075,4,194,5,0
410,002460228e4035432eec7d21e05f2264c7b955dc12ee735dac52f8304bcc85d9,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689091,8,193,5,0
411,00851d67b14f62e4ac43c8342ecae6fac70d458decae4a4224142e1986e641b4,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689103,6,192,5,0
412,008819f63d6855ac4528727114954ca2c449b9eee6b95b893830e3171045e9e4,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,m2,946689116,5,191,5,0
413,005afe250435688c9e828ff04228f315776b82090ba701fd35e971e69016ddf5,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689127,6,190,5,0
414,00acc98f0b2f36a230e04f4dfabacd59ab75e13bff812a05846c03ab50021913,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,m1,946689133,2,189,5,0
