sample_height,host,balance_gas
33,c1,99.8042
33,c2,99.8046
33,c3,99.804
33,c4,99.804
33,c5,99.8044
33,m1,4.3493
33,m2,21.1105
33,m3,41.4889
33,ca,49.357
36,c1,99.608
36,c2,99.664
36,c3,99.719
36,c4,99.7188
36,c5,99.7192
36,m1,104.3493
36,m2,21.1105
36,m3,42.0953
36,ca,49.357
40,c1,99.3858
40,c2,99.4976
40,c3,99.6078
40,c4,99.6078
40,c5,99.6636
40,m1,104.7711
40,m2,21.2771
40,m3,42.0953
40,ca,49.357
43,c1,99.163
43,c2,99.3864
43,c3,99.4966
43,c4,99.5522
43,c5,99.608
43,m1,105.1051
43,m2,21.7769
43,m3,42.0953
43,ca,49.357
45,c1,98.94
45,c2,99.2192
45,c3,99.3854
45,c4,99.4412
45,c5,99.5524
45,m1,105.1051
45,m2,22.0551
45,m3,42.0953
45,ca,49.357
49,c1,98.717
49,c2,99.1078
49,c3,99.274
49,c4,99.3856
49,c5,99.4412
49,m1,105.1051
49,m2,22.5561
49,m3,42.3179
49,ca,49.357
52,c1,98.494
52,c2,98.9406
52,c3,99.1624
52,c4,99.2742
52,c5,99.3856
52,m1,105.2721
52,m2,22.5561
52,m3,42.7637
52,ca,49.357
55,c1,98.3266
55,c2,98.829
55,c3,99.051
55,c4,99.2186
55,c5,99.33
55,m1,105.6063
55,m2,22.5561
55,m3,43.2097
55,ca,49.357
58,c1,98.1036
58,c2,98.6616
58,c3,98.9394
58,c4,99.1072
58,c5,99.2744
58,m1,106.0523
58,m2,22.5561
58,m3,43.2097
58,ca,49.357
61,c1,97.881
61,c2,98.4942
61,c3,98.8278
61,c4,99.0514
61,c5,99.1628
61,m1,106.3867
61,m2,22.7233
61,m3,43.2097
61,ca,49.357
64,c1,97.658
64,c2,98.383
64,c3,98.7162
64,c4,98.9402
64,c5,99.107
64,m1,106.3867
64,m2,23.3921
64,m3,43.2097
64,ca,49.357
67,c1,97.4352
67,c2,98.2156
67,c3,98.6046
67,c4,98.8844
67,c5,99.0512
67,m1,106.6095
67,m2,23.3921
67,m3,43.6001
67,ca,49.357
70,c1,97.2122
70,c2,98.104
70,c3,98.493
70,c4,98.7732
70,c5,98.9954
70,m1,106.6095
70,m2,23.3921
70,m3,43.7673
70,ca,49.357
73,c1,97.045
73,c2,97.9366
73,c3,98.4374
73,c4,98.7174
73,c5,98.884
73,m1,107.0557
73,m2,23.3921
73,m3,43.7673
73,ca,49.357
77,c1,96.8218
77,c2,97.825
77,c3,98.3258
77,c4,98.6062
77,c5,98.8284
77,m1,107.6129
77,m2,23.3921
77,m3,43.7673
77,ca,49.357
80,c1,96.5988
80,c2,97.658
80,c3,98.2142
80,c4,98.4946
80,c5,98.7726
80,m1,107.6129
80,m2,23.6153
80,m3,43.7673
80,ca,49.357
82,c1,96.3758
82,c2,97.5466
82,c3,98.1028
82,c4,98.439
82,c5,98.717
82,m1,107.6129
82,m2,23.6153
82,m3,43.7673
82,ca,49.357
86,c1,96.1528
86,c2,97.3794
86,c3,97.9914
86,c4,98.3274
86,c5,98.6614
86,m1,107.6129
86,m2,23.9497
86,m3,43.7673
86,ca,49.357
88,c1,95.9298
88,c2,97.2124
88,c3,97.8798
88,c4,98.2716
88,c5,98.5498
88,m1,107.6129
88,m2,24.3399
88,m3,43.7673
88,ca,49.357
92,c1,95.7628
92,c2,97.101
92,c3,97.7682
92,c4,98.16
92,c5,98.4942
92,m1,107.9471
92,m2,24.3399
92,m3,43.7673
92,ca,49.357
94,c1,95.5396
94,c2,96.9336
94,c3,97.6566
94,c4,98.1042
94,c5,98.4384
94,m1,108.2257
94,m2,24.6747
94,m3,43.7673
94,ca,49.357
98,c1,95.3166
98,c2,96.8222
98,c3,97.5452
98,c4,97.993
98,c5,98.3826
98,m1,108.4489
98,m2,24.6747
98,m3,43.7673
98,ca,49.357
101,c1,95.0934
101,c2,96.6546
101,c3,97.4336
101,c4,97.9372
101,c5,98.2708
101,m1,7.273
101,m2,11.0247
101,m3,35.3688
101,ca,49.357
103,c1,94.8698
103,c2,96.5426
103,c3,97.3216
103,c4,97.8252
103,c5,98.2148
103,m1,107.273
103,m2,111.4509
103,m3,35.3688
103,ca,49.357
107,c1,94.6466
107,c2,96.3748
107,c3,97.2096
107,c4,97.7692
107,c5,98.1588
107,m1,107.167
107,m2,111.6807
107,m3,35.2334
107,ca,49.357
110,c1,94.4786
110,c2,96.2628
110,c3,97.1536
110,c4,97.6574
110,c5,98.1028
110,m1,107.167
110,m2,111.6807
110,m3,35.4012
110,ca,49.357
113,c1,94.2548
113,c2,96.0948
113,c3,97.0416
113,c4,97.6014
113,c5,98.0468
113,m1,107.167
113,m2,111.6807
113,m3,35.4012
113,ca,49.357
116,c1,94.0302
116,c2,95.927
116,c3,96.9298
116,c4,97.4894
116,c5,97.9348
116,m1,107.167
116,m2,111.9607
116,m3,35.8492
116,ca,49.357
119,c1,93.8054
119,c2,95.815
119,c3,96.8178
119,c4,97.3774
119,c5,97.8788
119,m1,107.167
119,m2,112.4653
119,m3,35.8492
119,ca,49.357
122,c1,93.5806
122,c2,95.6472
122,c3,96.706
122,c4,97.3214
122,c5,97.8228
122,m1,107.4474
122,m2,112.4653
122,m3,35.8492
122,ca,49.357
125,c1,93.3564
125,c2,95.5354
125,c3,96.594
125,c4,97.2094
125,c5,97.7668
125,m1,107.7274
125,m2,112.4653
125,m3,35.8492
125,ca,49.357
128,c1,93.1878
128,c2,95.3674
128,c3,96.4822
128,c4,97.1536
128,c5,97.6548
128,m1,107.7274
128,m2,112.6333
128,m3,35.8492
128,ca,49.357
131,c1,92.9632
131,c2,95.2554
131,c3,96.3702
131,c4,97.0416
131,c5,97.599
131,m1,107.7274
131,m2,113.3055
131,m3,35.8492
131,ca,49.357
134,c1,92.7384
134,c2,95.0874
134,c3,96.2584
134,c4,96.9856
134,c5,97.5432
134,m1,108.0076
134,m2,113.3055
134,m3,35.8492
134,ca,49.357
137,c1,92.514
137,c2,94.9754
137,c3,96.1466
137,c4,96.8738
137,c5,97.4872
137,m1,108.0076
137,m2,113.3055
137,m3,35.8492
137,ca,49.357
140,c1,92.2896
140,c2,94.8076
140,c3,96.035
140,c4,96.8178
140,c5,97.4312
140,m1,108.0076
140,m2,113.5855
140,m3,35.8492
140,ca,49.357
143,c1,92.0652
143,c2,94.6396
143,c3,95.923
143,c4,96.7058
143,c5,97.3192
143,m1,108.0076
143,m2,113.9213
143,m3,36.1854
143,ca,49.357
146,c1,91.8968
146,c2,94.5278
146,c3,95.8112
146,c4,96.6498
146,c5,97.2634
146,m1,108.0076
146,m2,114.2015
146,m3,36.4656
146,ca,49.357
149,c1,91.6722
149,c2,94.36
149,c3,95.7552
149,c4,96.5378
149,c5,97.2074
149,m1,108.2318
149,m2,114.2575
149,m3,36.8574
149,ca,49.357
153,c1,91.4474
153,c2,94.2478
153,c3,95.6434
153,c4,96.4818
153,c5,97.1514
153,m1,108.3998
153,m2,114.4255
153,m3,36.8574
153,ca,49.357
156,c1,91.223
156,c2,94.0792
156,c3,95.5314
156,c4,96.37
156,c5,97.0394
156,m1,108.3998
156,m2,114.9305
156,m3,36.8574
156,ca,49.357
158,c1,90.9986
158,c2,93.9672
158,c3,95.4194
158,c4,96.314
158,c5,96.9836
158,m1,108.3998
158,m2,115.1545
158,m3,37.0818
158,ca,49.357
161,c1,90.774
161,c2,93.7988
161,c3,95.3076
161,c4,96.202
161,c5,96.9276
161,m1,108.96
161,m2,115.1545
161,m3,37.194
161,ca,49.357
164,c1,90.6054
164,c2,93.6864
164,c3,95.1958
164,c4,96.09
164,c5,96.8716
164,m1,109.6888
164,m2,115.1545
164,m3,37.194
164,ca,49.357
167,c1,90.3806
167,c2,93.5182
167,c3,95.0842
167,c4,96.034
167,c5,96.7596
167,m1,110.0812
167,m2,115.3789
167,m3,37.194
167,ca,49.357
171,c1,90.156
171,c2,93.3496
171,c3,94.9722
171,c4,95.9222
171,c5,96.7036
171,m1,110.5296
171,m2,115.6595
171,m3,37.194
171,ca,49.357
173,c1,89.9312
173,c2,93.2372
173,c3,94.8602
173,c4,95.8662
173,c5,96.6478
173,m1,110.5296
173,m2,115.9959
173,m3,37.194
173,ca,49.357
175,c1,89.7064
175,c2,93.0686
175,c3,94.7482
175,c4,95.7544
175,c5,96.5918
175,m1,110.698
175,m2,116.3323
175,m3,37.194
175,ca,49.357
179,c1,89.4818
179,c2,92.9564
179,c3,94.6364
179,c4,95.6986
179,c5,96.5358
179,m1,111.6512
179,m2,116.3881
179,m3,37.194
179,ca,49.357
183,c1,89.3132
183,c2,92.7878
183,c3,94.5244
183,c4,95.5866
183,c5,96.4238
183,m1,111.9878
183,m2,115.1847
183,m3,37.194
183,ca,49.357
186,c1,89.0888
186,c2,92.6756
186,c3,94.4684
186,c4,95.5308
186,c5,96.368
186,m1,113.8084
186,m2,115.4647
186,m3,37.194
186,ca,49.357
189,c1,88.864
189,c2,92.5072
189,c3,94.3566
189,c4,95.4188
189,c5,96.312
189,m1,114.4814
189,m2,115.4647
189,m3,37.194
189,ca,49.357
192,c1,88.6396
192,c2,92.395
192,c3,94.2444
192,c4,95.3628
192,c5,96.256
192,m1,114.7614
192,m2,115.6891
192,m3,37.194
192,ca,49.357
194,c1,88.415
194,c2,92.2266
194,c3,94.132
194,c4,95.2512
194,c5,96.1442
194,m1,115.2664
194,m2,115.6891
194,m3,37.194
194,ca,49.357
196,c1,88.1908
196,c2,92.0586
196,c3,94.0196
196,c4,95.1954
196,c5,96.0882
196,m1,115.6586
196,m2,115.9135
196,m3,37.194
196,ca,49.357
200,c1,88.0224
200,c2,91.9466
200,c3,93.9072
200,c4,95.0834
200,c5,96.0322
200,m1,114.51
200,m2,116.2499
200,m3,37.194
200,ca,49.357
203,c1,87.798
203,c2,91.7782
203,c3,93.795
203,c4,95.0274
203,c5,95.9762
203,m1,9.9855
203,m2,47.6548
203,m3,30.1102
203,ca,49.357
206,c1,87.5734
206,c2,91.6658
206,c3,93.6826
206,c4,94.9154
206,c5,95.9202
206,m1,110.2055
206,m2,47.5784
206,m3,30.1702
206,ca,49.357
209,c1,87.3488
209,c2,91.4974
209,c3,93.5702
209,c4,94.8036
209,c5,95.8086
209,m1,110.7103
209,m2,47.5784
209,m3,30.6852
209,ca,49.357
211,c1,87.1242
211,c2,91.3852
211,c3,93.458
211,c4,94.7478
211,c5,95.7528
211,m1,111.1587
211,m2,47.5784
211,m3,30.6852
211,ca,49.357
214,c1,86.8996
214,c2,91.217
214,c3,93.3456
214,c4,94.6358
214,c5,95.6968
214,m1,112.0001
214,m2,47.5784
214,m3,30.6852
214,ca,49.357
217,c1,86.7314
217,c2,91.1046
217,c3,93.2332
217,c4,94.58
217,c5,95.6408
217,m1,112.2243
217,m2,47.8028
217,m3,30.6852
217,ca,49.357
220,c1,86.5066
220,c2,90.9362
220,c3,93.1772
220,c4,94.468
220,c5,95.5288
220,m1,112.3925
220,m2,48.2518
220,m3,30.6852
220,ca,49.357
224,c1,86.2818
224,c2,90.7678
224,c3,93.0648
224,c4,94.4122
224,c5,95.473
224,m1,113.1217
224,m2,48.42
224,m3,30.6852
224,ca,49.357
227,c1,86.0572
227,c2,90.6558
227,c3,92.9524
227,c4,94.3002
227,c5,95.417
227,m1,113.6829
227,m2,48.42
227,m3,30.6852
227,ca,49.357
230,c1,85.8326
230,c2,90.4876
230,c3,92.84
230,c4,94.244
230,c5,95.3612
230,m1,114.1877
230,m2,48.5882
230,m3,30.6852
230,ca,49.357
232,c1,85.608
232,c2,90.3754
232,c3,92.7276
232,c4,94.1316
232,c5,95.2492
232,m1,114.5245
232,m2,48.5882
232,m3,30.6852
232,ca,49.357
235,c1,85.3834
235,c2,90.2068
235,c3,92.6154
235,c4,94.0754
235,c5,95.1932
235,m1,115.0301
235,m2,48.869
235,m3,30.6852
235,ca,49.357
238,c1,85.2152
238,c2,90.0944
238,c3,92.5032
238,c4,93.9632
238,c5,95.1372
238,m1,115.3667
238,m2,49.0376
238,m3,30.6852
238,ca,49.357
241,c1,84.9908
241,c2,89.9258
241,c3,92.3908
241,c4,93.907
241,c5,95.0812
241,m1,115.7597
241,m2,49.3738
241,m3,30.6852
241,ca,49.357
243,c1,84.7662
243,c2,89.7574
243,c3,92.2784
243,c4,93.7946
243,c5,95.0252
243,m1,116.3211
243,m2,49.3738
243,m3,30.6852
243,ca,49.357
247,c1,84.5414
247,c2,89.6452
247,c3,92.166
247,c4,93.6822
247,c5,94.9134
247,m1,116.7707
247,m2,49.5982
247,m3,30.6852
247,ca,49.357
249,c1,84.3172
249,c2,89.4766
249,c3,92.054
249,c4,93.626
249,c5,94.8574
249,m1,117.2195
249,m2,49.5982
249,m3,30.6852
249,ca,49.357
253,c1,84.0928
253,c2,89.3642
253,c3,91.942
253,c4,93.5138
253,c5,94.8016
253,m1,118.1729
253,m2,49.5982
253,m3,30.6852
253,ca,49.357
255,c1,83.9244
255,c2,89.1956
255,c3,91.886
255,c4,93.4576
255,c5,94.7458
255,m1,118.5091
255,m2,49.5982
255,m3,30.6852
255,ca,49.357
258,c1,83.6998
258,c2,89.0834
258,c3,91.774
258,c4,93.3452
258,c5,94.6338
258,m1,119.2949
258,m2,49.5982
258,m3,30.6852
258,ca,49.357
261,c1,83.4752
261,c2,88.9148
261,c3,91.6616
261,c4,93.289
261,c5,94.578
261,m1,118.3157
261,m2,49.5982
261,m3,30.6852
261,ca,49.357
264,c1,83.251
264,c2,88.8026
264,c3,91.5492
264,c4,93.1766
264,c5,94.5222
264,m1,118.5401
264,m2,49.8786
264,m3,32.282
264,ca,49.357
267,c1,83.0262
267,c2,88.6342
267,c3,91.4372
267,c4,93.1204
267,c5,94.4662
267,m1,119.0451
267,m2,50.103
267,m3,32.282
267,ca,49.357
269,c1,82.8018
269,c2,88.466
269,c3,91.325
269,c4,93.008
269,c5,94.3542
269,m1,119.3817
269,m2,50.2714
269,m3,32.5064
269,ca,49.357
273,c1,82.6334
273,c2,88.3538
273,c3,91.2126
273,c4,92.952
273,c5,94.2982
273,m1,119.5501
273,m2,50.4956
273,m3,32.5064
273,ca,49.357
276,c1,82.4088
276,c2,88.1854
276,c3,91.1002
276,c4,92.8396
276,c5,94.2422
276,m1,120.0553
276,m2,50.608
276,m3,32.5064
276,ca,49.357
279,c1,82.1842
279,c2,88.0732
279,c3,90.9878
279,c4,92.7834
279,c5,94.186
279,m1,120.2237
279,m2,50.8888
279,m3,32.5064
279,ca,49.357
282,c1,81.9596
282,c2,87.9048
282,c3,90.8756
282,c4,92.671
282,c5,94.13
282,m1,120.7289
282,m2,51.2256
282,m3,32.5064
282,ca,49.357
284,c1,81.7352
284,c2,87.7926
284,c3,90.7632
284,c4,92.6148
284,c5,94.0178
284,m1,121.2341
284,m2,51.2256
284,m3,32.5064
284,ca,49.357
287,c1,81.5106
287,c2,87.6242
287,c3,90.651
287,c4,92.5028
287,c5,93.9616
287,m1,121.6833
287,m2,51.2256
287,m3,32.6746
287,ca,49.357
290,c1,81.3422
290,c2,87.5118
290,c3,90.5948
290,c4,92.3904
290,c5,93.9054
290,m1,122.0205
290,m2,51.2256
290,m3,33.0112
290,ca,49.357
292,c1,81.1176
292,c2,87.3434
292,c3,90.4826
292,c4,92.3342
292,c5,93.8492
292,m1,122.5257
292,m2,51.2256
292,m3,33.0112
292,ca,49.357
295,c1,80.8932
295,c2,87.175
295,c3,90.3704
295,c4,92.2218
295,c5,93.7368
295,m1,123.3121
295,m2,51.2256
295,m3,33.0112
295,ca,49.357
298,c1,80.6684
298,c2,87.063
298,c3,90.258
