height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,00c08b4702dd07a7c7ea49af3c47c45bcef94db5af3d1e14bbe1436fdcd7766e,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684801,1,420,1,1
2,0039fda3dc96991a939ff0d69b9bb55836e9da4cd568f42d0e2137c959138357,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684802,1,419,1,1
3,000bd10495990e65b2db9f700e5ad362885899ec345c7dea4087fba49d19d816,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684805,4,418,1,1
4,00edad9aff36fa253f7aff966b2b7cf23ede08a79cb77ac791ea6e7df9375fd3,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684811,1,417,1,1
5,002a171f1609571bbc9b7d94860560a5094a7740fbbf7021201bcf15bcdf80e9,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684818,1,416,1,1
6,00f2d317ae7f851c56d66eba5ae38003cec6ba2664d57e3dcdd6bf82ca8ea88f,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684826,1,415,1,1
7,002bda450fef3ab30776e2596f2c62b9770e5bdce63864b2f85cab0cb843527f,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684833,1,414,1,1
8,00ecf67a283f0074e65d2d01a52f3e9d6a43227addaee7c5387b07b59a0e4918,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684837,1,413,1,1
9,009d1c16eae16197fe78089ae64b564c26fbe2b8383feddb08a198de58287ab6,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684844,1,412,1,1
10,001dc156a58108740576217bfc7e764887949b3a53e868f8c35f2410b314bdac,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684850,1,411,1,1
11,00e854c0b7731d7dbff7df158f9ae3ac056411f84295c59e9303429e8cde21bc,1B9s9Z4UHEdH3WoiQxnpZPARMF8y4zhi7KbZp4,,946684857,1,410,1,1
