sample_height,host,balance_gas
67,c1,99.8042
67,c2,99.8046
67,c3,99.8044
67,c4,99.8042
67,c5,99.8044
67,m1,4.3387
67,m2,21.7634
67,m3,40.0979
67,ca,49.3572
73,c1,99.608
73,c2,99.6638
73,c3,99.7192
73,c4,99.7192
73,c5,99.7194
73,m1,7.083
73,m2,9.8602
73,m3,33.0536
73,ca,49.3572
79,c1,99.3856
79,c2,99.4972
79,c3,99.608
79,c4,99.608
79,c5,99.6638
79,m1,107.37
79,m2,110.1586
79,m3,33.3906
79,ca,49.3572
85,c1,99.1632
85,c2,99.3864
85,c3,99.4968
85,c4,99.5524
85,c5,99.6082
85,m1,7.1486
85,m2,45.2405
85,m3,27.0673
85,ca,49.3572
91,c1,98.9402
91,c2,99.2192
91,c3,99.3856
91,c4,99.4414
91,c5,99.5526
91,m1,107.0428
91,m2,45.1349
91,m3,27.2695
91,ca,49.3572
98,c1,98.7172
98,c2,99.1076
98,c3,99.2744
98,c4,99.386
98,c5,99.4414
98,m1,7.2069
98,m2,19.209
98,m3,22.6047
98,ca,49.3572
103,c1,98.5498
103,c2,98.9398
103,c3,99.1626
103,c4,99.2744
103,c5,99.3858
103,m1,107.3691
103,m2,119.8242
103,m3,22.4991
103,ca,49.3572
108,c1,98.326
108,c2,98.828
108,c3,99.0506
108,c4,99.2184
108,c5,99.3302
108,m1,7.1164
108,m2,49.2186
108,m3,18.4885
108,ca,49.3572
113,c1,98.1022
113,c2,98.6602
113,c3,98.9386
113,c4,99.1064
113,c5,99.2744
113,m1,107.4578
113,m2,49.1132
113,m3,118.8089
113,ca,49.3572
118,c1,97.8782
118,c2,98.5482
118,c3,98.8268
118,c4,99.0506
118,c5,99.2184
118,m1,108.364
118,m2,49.1132
118,m3,118.8089
118,ca,49.3572
123,c1,97.6542
123,c2,98.3802
123,c3,98.7152
123,c4,98.939
123,c5,99.1064
123,m1,7.0802
123,m2,20.8672
123,m3,95.9121
123,ca,49.3572
129,c1,97.4862
129,c2,98.2686
129,c3,98.6592
129,c4,98.883
129,c5,99.0504
129,m1,107.7046
129,m2,21.0152
129,m3,95.9121
129,ca,49.3572
134,c1,97.2622
134,c2,98.101
134,c3,98.5472
134,c4,98.771
134,c5,98.9944
134,m1,7.0772
134,m2,9.4283
134,m3,76.9235
134,ca,49.3572
140,c1,97.0384
140,c2,97.9892
140,c3,98.4352
140,c4,98.715
140,c5,98.9384
140,m1,107.8528
140,m2,109.3523
140,m3,77.7707
140,ca,49.3572
145,c1,96.815
145,c2,97.8212
145,c3,98.3232
145,c4,98.6032
145,c5,98.8266
145,m1,7.034
145,m2,44.8957
145,m3,62.5714
145,ca,49.3572
150,c1,96.5914
150,c2,97.6534
150,c3,98.2114
150,c4,98.5472
150,c5,98.7706
150,m1,107.8478
150,m2,44.9877
150,m3,62.4658
150,ca,49.3572
155,c1,96.4234
155,c2,97.5416
155,c3,98.0994
155,c4,98.4352
155,c5,98.7146
155,m1,108.3592
155,m2,44.9877
155,m3,62.8572
155,ca,49.3572
161,c1,96.1994
161,c2,97.3736
161,c3,97.9876
161,c4,98.3794
161,c5,98.6586
161,m1,7.7612
161,m2,19.0151
161,m3,50.6406
161,ca,49.3572
167,c1,95.9758
167,c2,97.2616
167,c3,97.8756
167,c4,98.2674
167,c5,98.6028
167,m1,108.7638
167,m2,119.0151
167,m3,50.6406
167,ca,49.3572
173,c1,95.752
173,c2,97.0936
173,c3,97.7638
173,c4,98.2114
173,c5,98.4908
173,m1,7.8262
173,m2,48.6556
173,m3,40.7915
173,ca,49.3572
179,c1,95.528
179,c2,96.9816
179,c3,97.6518
179,c4,98.0996
179,c5,98.4348
179,m1,108.774
179,m2,48.6556
179,m3,40.7915
179,ca,49.3572
184,c1,95.36
184,c2,96.8136
184,c3,97.5958
184,c4,98.0436
184,c5,98.3788
184,m1,7.7091
184,m2,20.7402
184,m3,33.1224
184,ca,49.3572
189,c1,95.1362
189,c2,96.7016
189,c3,97.4838
189,c4,97.9316
189,c5,98.323
189,m1,108.5251
189,m2,20.6346
189,m3,33.0168
189,ca,49.3572
195,c1,94.9126
195,c2,96.5338
195,c3,97.3718
195,c4,97.8196
195,c5,98.211
195,m1,7.5834
195,m2,9.435
195,m3,26.7682
195,ca,49.3572
200,c1,94.6888
200,c2,96.422
200,c3,97.2602
200,c4,97.7636
200,c5,98.1552
200,m1,107.9824
200,m2,109.6854
200,m3,26.7682
200,ca,49.3572
205,c1,94.4652
205,c2,96.2542
205,c3,97.1484
205,c4,97.6516
205,c5,98.0992
205,m1,7.2319
205,m2,45.1184
205,m3,21.859
205,ca,49.3572
211,c1,94.2972
211,c2,96.1422
211,c3,97.0364
211,c4,97.5958
211,c5,98.0432
211,m1,108.3899
211,m2,44.9542
211,m3,21.7534
211,ca,49.3572
216,c1,94.0728
216,c2,95.9744
216,c3,96.9244
216,c4,97.4838
216,c5,97.9872
216,m1,108.5581
216,m2,45.3464
216,m3,21.7534
216,ca,49.3572
221,c1,93.8482
221,c2,95.8064
221,c3,96.8126
221,c4,97.428
221,c5,97.8752
221,m1,6.8633
221,m2,20.0966
221,m3,17.6523
221,ca,49.3572
226,c1,93.6236
226,c2,95.6944
226,c3,96.7006
226,c4,97.3162
226,c5,97.8192
226,m1,107.1437
226,m2,20.7274
226,m3,117.6523
226,ca,49.3572
231,c1,93.399
231,c2,95.5268
231,c3,96.5886
231,c4,97.2604
231,c5,97.7632
231,m1,7.1166
231,m2,9.979
231,m3,94.4766
231,ca,49.3572
237,c1,93.2308
237,c2,95.4152
237,c3,96.5328
237,c4,97.1484
237,c5,97.7072
237,m1,107.2846
237,m2,110.2028
237,m3,94.7348
237,ca,49.3572
243,c1,93.0062
243,c2,95.2474
243,c3,96.4208
243,c4,97.0924
243,c5,97.6512
243,m1,7.5927
243,m2,45.3031
243,m3,76.1426
243,ca,49.3572
249,c1,92.7816
249,c2,95.1354
249,c3,96.309
249,c4,96.9806
249,c5,97.5394
249,m1,108.1401
249,m2,45.5227
249,m3,76.037
249,ca,49.3572
255,c1,92.5568
255,c2,94.9676
255,c3,96.1972
255,c4,96.9246
255,c5,97.4834
255,m1,7.0694
255,m2,19.8767
255,m3,61.3526
255,ca,49.3572
261,c1,92.3322
261,c2,94.8558
261,c3,96.0854
261,c4,96.8126
261,c5,97.4276
261,m1,107.8516
261,m2,119.8767
261,m3,61.2766
261,ca,49.3572
267,c1,92.1638
267,c2,94.6878
267,c3,95.9736
267,c4,96.7568
267,c5,97.3716
267,m1,7.081
267,m2,49.1728
267,m3,49.3761
267,ca,49.3572
272,c1,91.9392
272,c2,94.576
272,c3,95.8616
272,c4,96.645
272,c5,97.2596
272,m1,108.1108
272,m2,49.0672
272,m3,49.3761
272,ca,49.3572
277,c1,91.715
277,c2,94.4082
277,c3,95.7498
277,c4,96.5892
277,c5,97.2036
277,m1,108.503
277,m2,49.1792
277,m3,49.5997
277,ca,49.3572
282,c1,91.4904
282,c2,94.2962
282,c3,95.6378
282,c4,96.4776
282,c5,97.1476
282,m1,7.7574
282,m2,21.2623
282,m3,39.9288
282,ca,49.3572
287,c1,91.2658
287,c2,94.1276
287,c3,95.526
287,c4,96.4216
287,c5,97.0916
287,m1,107.915
287,m2,21.6547
287,m3,39.9288
287,ca,49.3572
292,c1,91.0974
292,c2,94.0152
292,c3,95.47
292,c4,96.3096
292,c5,97.0356
292,m1,8.3277
292,m2,9.5368
292,m3,32.2978
292,ca,49.3572
298,c1,90.8726
298,c2,93.8468
298,c3,95.358
298,c4,96.2538
298,c5,96.9236
298,m1,109.0749
298,m2,109.4608
298,m3,32.2216
298,ca,49.3572
304,c1,90.6478
304,c2,93.6782
304,c3,95.2462
304,c4,96.1418
304,c5,96.8676
304,m1,7.2818
304,m2,45.4773
304,m3,26.1321
304,ca,49.3572
309,c1,90.4232
309,c2,93.566
309,c3,95.1346
309,c4,96.0858
309,c5,96.8116
309,m1,107.4294
309,m2,45.8789
309,m3,26.1883
309,ca,49.3572
314,c1,90.1986
314,c2,93.3974
314,c3,95.0228
314,c4,95.974
314,c5,96.7556
314,m1,7.6617
314,m2,19.5066
314,m3,21.3054
314,ca,49.3572
318,c1,90.0304
318,c2,93.285
318,c3,94.9108
318,c4,95.918
318,c5,96.6438
318,m1,108.3773
318,m2,119.9398
318,m3,21.1998
318,ca,49.3572
324,c1,89.8056
324,c2,93.1166
324,c3,94.799
324,c4,95.8062
324,c5,96.5878
324,m1,6.9507
324,m2,48.9964
324,m3,21.1998
324,ca,49.3572
329,c1,89.581
329,c2,93.0042
329,c3,94.687
329,c4,95.6942
329,c5,96.5318
329,m1,107.8013
329,m2,49.0588
329,m3,17.2088
329,ca,49.3572
334,c1,89.3564
334,c2,92.836
334,c3,94.575
334,c4,95.6382
334,c5,96.4758
334,m1,108.6393
334,m2,49.171
334,m3,117.2088
334,ca,49.3572
339,c1,89.1316
339,c2,92.7238
339,c3,94.463
339,c4,95.5264
339,c5,96.4198
339,m1,7.7672
339,m2,20.8232
339,m3,94.1218
339,ca,49.3572
344,c1,88.9632
344,c2,92.5552
344,c3,94.407
344,c4,95.4704
344,c5,96.3078
344,m1,107.9868
344,m2,21.2592
344,m3,94.1846
344,ca,49.3572
349,c1,88.7386
349,c2,92.4428
349,c3,94.2952
349,c4,95.3584
349,c5,96.2518
349,m1,6.9818
349,m2,9.3792
349,m3,75.7025
349,ca,49.3572
354,c1,88.514
354,c2,92.2744
354,c3,94.1828
354,c4,95.3024
354,c5,96.1958
354,m1,108.4936
354,m2,109.4418
354,m3,75.7025
354,ca,49.3572
361,c1,88.2894
361,c2,92.1622
361,c3,94.0704
361,c4,95.1906
361,c5,96.14
361,m1,7.0149
361,m2,44.9315
361,m3,60.799
361,ca,49.3572
367,c1,88.065
367,c2,91.9936
367,c3,93.9582
367,c4,95.1346
367,c5,96.084
367,m1,108.2661
367,m2,44.8553
367,m3,60.7228
367,ca,49.3572
372,c1,87.8968
372,c2,91.8812
372,c3,93.846
372,c4,95.0228
372,c5,95.9722
372,m1,108.4903
372,m2,45.4161
372,m3,60.7228
372,ca,49.3572
378,c1,87.6722
378,c2,91.7128
378,c3,93.7336
378,c4,94.9668
378,c5,95.9162
378,m1,7.5923
378,m2,19.3276
378,m3,48.857
378,ca,49.3572
383,c1,87.4474
383,c2,91.5444
383,c3,93.6212
383,c4,94.8548
383,c5,95.8604
383,m1,108.1315
383,m2,119.84
383,m3,48.857
383,ca,49.3572
389,c1,87.223
389,c2,91.432
389,c3,93.5088
389,c4,94.7988
389,c5,95.8046
389,m1,7.8786
389,m2,48.9852
389,m3,39.3642
389,ca,49.3572
395,c1,86.9986
395,c2,91.2636
395,c3,93.3966
395,c4,94.6868
395,c5,95.6926
395,m1,108.6338
395,m2,48.9852
395,m3,39.5886
395,ca,49.3572
400,c1,86.774
400,c2,91.1512
400,c3,93.2844
400,c4,94.631
400,c5,95.6366
400,m1,7.5281
400,m2,21.2627
400,m3,32.0257
400,ca,49.3572
406,c1,86.6054
406,c2,90.9828
406,c3,93.2282
406,c4,94.519
406,c5,95.5806
406,m1,108.2039
406,m2,21.2695
406,m3,31.9495
406,ca,49.3572
411,c1,86.381
411,c2,90.8704
411,c3,93.1158
411,c4,94.4632
411,c5,95.5246
411,m1,7.7488
411,m2,9.8193
411,m3,25.9144
411,ca,49.3572
416,c1,86.1566
416,c2,90.702
416,c3,93.0036
416,c4,94.3512
416,c5,95.4688
416,m1,108.667
416,m2,109.7137
416,m3,25.9208
416,ca,49.3572
422,c1,85.9322
422,c2,90.5896
422,c3,92.8916
422,c4,94.2952
422,c5,95.3568
422,m1,7.6144
422,m2,45.0405
422,m3,21.0017
422,ca,49.3572
427,c1,85.7074
427,c2,90.4212
427,c3,92.7792
427,c4,94.1828
427,c5,95.3008
427,m1,108.109
427,m2,45.2651
427,m3,21.0017
427,ca,49.3572
432,c1,85.539
432,c2,90.309
432,c3,92.6668
432,c4,94.1266
432,c5,95.2448
432,m1,108.3332
432,m2,45.4335
432,m3,21.1141
432,ca,49.3572
437,c1,85.3142
437,c2,90.1408
437,c3,92.5544
437,c4,94.0142
437,c5,95.1888
437,m1,7.3547
437,m2,19.8158
437,m3,17.1407
437,ca,49.3572
