run_id,livello,tbt,epoca,host,address,blocchi_epoca,quota_osservata_epoca,peso_epoca,quota_peso_epoca,W_tot_epoca,rapporto_Wtot_su_wi
run1-tbt-15s/continentale,continentale,15,6,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,7,0.63636,100982,0.60778,166149,1.645
run1-tbt-15s/continentale,continentale,15,6,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,3,0.27273,52732,0.31738,166149,3.151
run1-tbt-15s/continentale,continentale,15,6,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,1,0.09091,12435,0.07484,166149,13.361
run1-tbt-15s/continentale,continentale,15,7,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,8,0.66667,96314,0.61121,157580,1.636
run1-tbt-15s/continentale,continentale,15,7,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,4,0.33333,47081,0.29878,157580,3.347
run1-tbt-15s/continentale,continentale,15,7,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,0,0.0,14185,0.09002,157580,11.109
run1-tbt-15s/continentale,continentale,15,8,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,5,0.41667,89605,0.60835,147292,1.644
run1-tbt-15s/continentale,continentale,15,8,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,7,0.58333,44838,0.30442,147292,3.285
run1-tbt-15s/continentale,continentale,15,8,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,0,0.0,12849,0.08723,147292,11.463
run1-tbt-15s/continentale,continentale,15,9,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,8,0.66667,100982,0.61592,163952,1.624
run1-tbt-15s/continentale,continentale,15,9,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,3,0.25,48785,0.29756,163952,3.361
run1-tbt-15s/continentale,continentale,15,9,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,1,0.08333,14185,0.08652,163952,11.558
run1-tbt-15s/continentale,continentale,15,10,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,12,1.0,103024,0.61238,168236,1.633
run1-tbt-15s/continentale,continentale,15,10,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,0,0.0,51027,0.30331,168236,3.297
run1-tbt-15s/continentale,continentale,15,10,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,0,0.0,14185,0.08432,168236,11.86
run1-tbt-15s/continentale,continentale,15,11,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,8,0.66667,96314,0.61139,157534,1.636
run1-tbt-15s/continentale,continentale,15,11,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,4,0.33333,48785,0.30968,157534,3.229
run1-tbt-15s/continentale,continentale,15,11,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,0,0.0,12435,0.07894,157534,12.669
run1-tbt-15s/continentale,continentale,15,12,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,6,0.5,91646,0.60462,151576,1.654
run1-tbt-15s/continentale,continentale,15,12,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,3,0.25,47081,0.31061,151576,3.219
run1-tbt-15s/continentale,continentale,15,12,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,3,0.25,12849,0.08477,151576,11.797
run1-tbt-15s/continentale,continentale,15,13,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,6,0.5,84937,0.60504,140382,1.653
run1-tbt-15s/continentale,continentale,15,13,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,4,0.33333,42596,0.30343,140382,3.296
run1-tbt-15s/continentale,continentale,15,13,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,2,0.16667,12849,0.09153,140382,10.926
run1-tbt-15s/continentale,continentale,15,14,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,10,0.83333,84937,0.60504,140382,1.653
run1-tbt-15s/continentale,continentale,15,14,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,2,0.16667,42596,0.30343,140382,3.296
run1-tbt-15s/continentale,continentale,15,14,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,0,0.0,12849,0.09153,140382,10.926
run1-tbt-15s/continentale,continentale,15,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,2,1.0,84937,0.60504,140382,1.653
run1-tbt-15s/continentale,continentale,15,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,0,0.0,42596,0.30343,140382,3.296
run1-tbt-15s/continentale,continentale,15,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,0,0.0,12849,0.09153,140382,10.926
run2-tbt-10s/continentale,continentale,10,6,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,3,0.42857,105590,0.67748,155856,1.476
run2-tbt-10s/continentale,continentale,10,6,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,4,0.57143,41030,0.26326,155856,3.799
run2-tbt-10s/continentale,continentale,10,6,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,9236,0.05926,155856,16.875
run2-tbt-10s/continentale,continentale,10,7,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0.75,116683,0.65605,177856,1.524
run2-tbt-10s/continentale,continentale,10,7,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0.16667,46111,0.25926,177856,3.857
run2-tbt-10s/continentale,continentale,10,7,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,15062,0.08469,177856,11.808
run2-tbt-10s/continentale,continentale,10,8,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,10,0.83333,113689,0.66668,170531,1.5
run2-tbt-10s/continentale,continentale,10,8,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0.16667,43484,0.25499,170531,3.922
run2-tbt-10s/continentale,continentale,10,8,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,13358,0.07833,170531,12.766
run2-tbt-10s/continentale,continentale,10,9,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,10,0.83333,105590,0.67104,157352,1.49
run2-tbt-10s/continentale,continentale,10,9,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0.16667,38404,0.24406,157352,4.097
run2-tbt-10s/continentale,continentale,10,9,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,13358,0.08489,157352,11.78
run2-tbt-10s/continentale,continentale,10,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,8,0.66667,105590,0.67015,157561,1.492
run2-tbt-10s/continentale,continentale,10,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,41030,0.26041,157561,3.84
run2-tbt-10s/continentale,continentale,10,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,10941,0.06944,157561,14.401
run2-tbt-10s/continentale,continentale,10,11,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,0.58333,105133,0.65905,159521,1.517
run2-tbt-10s/continentale,continentale,10,11,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,41030,0.25721,159521,3.888
run2-tbt-10s/continentale,continentale,10,11,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,0.16667,13358,0.08374,159521,11.942
run2-tbt-10s/continentale,continentale,10,12,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0.75,97490,0.66498,146606,1.504
run2-tbt-10s/continentale,continentale,10,12,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,35758,0.24391,146606,4.1
run2-tbt-10s/continentale,continentale,10,12,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,13358,0.09111,146606,10.975
run2-tbt-10s/continentale,continentale,10,13,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0.75,123285,0.68364,180337,1.463
run2-tbt-10s/continentale,continentale,10,13,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0.25,46111,0.25569,180337,3.911
run2-tbt-10s/continentale,continentale,10,13,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0.0,10941,0.06067,180337,16.483
run2-tbt-10s/continentale,continentale,10,14,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,6,0.5,105590,0.67104,157352,1.49
run2-tbt-10s/continentale,continentale,10,14,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,5,0.41667,38404,0.24406,157352,4.097
run2-tbt-10s/continentale,continentale,10,14,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,13358,0.08489,157352,11.78
run2-tbt-10s/continentale,continentale,10,15,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0.75,123285,0.66836,184458,1.496
run2-tbt-10s/continentale,continentale,10,15,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0.16667,46111,0.24998,184458,4.0
run2-tbt-10s/continentale,continentale,10,15,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,15062,0.08166,184458,12.247
run2-tbt-10s/continentale,continentale,10,16,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,10,0.83333,105590,0.66003,159978,1.515
run2-tbt-10s/continentale,continentale,10,16,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,1,0.08333,41030,0.25647,159978,3.899
run2-tbt-10s/continentale,continentale,10,16,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0.08333,13358,0.0835,159978,11.976
run2-tbt-10s/continentale,continentale,10,17,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,6,0.5,123285,0.6746,182754,1.482
