scenario,pesi,dump_function,n_estrazioni,seed,chi2,df,critico_5pct,compatibile,attesa_minima,campione_sufficiente,candidati_peso_nullo,selezioni_candidati_nulli,cor_5_4_rispettato,quote_osservate,quote_attese,nota
pesi uniformi (3 candidati),n1:100 n2:100 n3:100,none,10000,20260829,0.3194,2,5.991,1,3333.33,1,0,0,,n1:0.3350 n2:0.3307 n3:0.3343,n1:0.3333 n2:0.3333 n3:0.3333,il caso degenere: la wPoA deve ridursi a un'estrazione equiprobabile
pesi fortemente sbilanciati (95/4/1),n1:95 n2:4 n3:1,none,10000,20260830,1.7112,2,5.991,1,100.0,1,0,0,,n1:0.9474 n2:0.0416 n3:0.0110,n1:0.9500 n2:0.0400 n3:0.0100,il caso che il chi-quadro sulle run non riesce a testare: la classe piu' piccola ha attesa sufficiente solo con molte estrazioni
un candidato a peso nullo (Cor. 5.4),n1:60 n2:40 n_zero:0,none,10000,20260831,0.7004,1,3.841,1,4000.0,1,1,0,1,n1:0.5959 n2:0.4041 n_zero:0.0000,n1:0.6000 n2:0.4000 n_zero:0.0000,"verifica diretta del Cor. 5.4: il candidato a peso nullo deve avere ZERO selezioni esatte, non poche"
due candidati a peso uguale piu' uno nullo,n1:50 n2:50 n_zero:0,none,10000,20260832,0.0064,1,3.841,1,5000.0,1,1,0,1,n1:0.5004 n2:0.4996 n_zero:0.0000,n1:0.5000 n2:0.5000 n_zero:0.0000,il Cor. 5.4 regge anche quando i restanti sono indistinguibili fra loro
"pesi osservati in una run reale (run5-tbt-2s/intercontinentale, epoca 54)",m1:36305 m2:10353 m3:8243,none,10000,20260833,0.9525,2,5.991,1,1501.43,1,0,0,,m1:0.6570 m2:0.1899 m3:0.1531,m1:0.6613 m2:0.1886 m3:0.1501,"gli stessi rapporti di peso misurati sulla catena, estratti pero' N volte invece che una dozzina. Criterio di scelta dell'epoca: attesa >= 5 solo sulla finestra scorrevole di epoche; nella singola epoca il campione della run NON basta"
