experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,model,H0,beta1,beta1_se,beta1_ci_low,beta1_ci_high,beta0,deviance,n_points,converged,note,beta1_ci_contains_1,pearson_r,pearson_p,spearman_rho,spearman_p
run6-tbt-10s,continentale,1,10,none,true,logit(p_hat) ~ b0 + b1*log(w_eff),b1 = 1 (proportional selection),1.51725394,0.11238748,1.29697447,1.73753341,-19.99098614,19.31028822,9,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run6-tbt-10s,continentale,1,10,none,true,logit(p_hat) ~ b0 + b1*log(p_theoretical),"b1 = 1, b0 = 0",1.51838992,0.11251393,1.29786262,1.73891722,1.22375636,19.49685034,9,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run6-tbt-10s,continentale,1,10,none,true,log(p_hat_i/p_hat_j) ~ a + b*log(w_i/w_j) (pairs x epochs),"b = 1, a = 0",0.9787153,,,,0.13810564,,9,,"H0 of proportionality: slope = 1, intercept = 0",,0.98385079,1.73e-06,0.91666667,0.00050662
