height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,00020814db94085da048988a12471838c199e18650dc37549f85f76843df9f3c,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684801,1,172,1,1
2,00c5df822e838d492b7fe4569cfb8403c93d93649f568c110122054767b2e767,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684802,1,171,1,1
3,000a2be7d0be567fe19d1fdceda3f27d3006f690fe90c91dbb130887f2fcc1b6,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684816,4,170,1,1
4,001f3d5e36f0d085c9d4488b77dd603a01ef1c4a5b3f383c908869bce86a72e8,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684832,1,169,1,1
5,004baa431aae98114678ee45a3e6c4e003ae88507194ce69cb96ba9cac43786d,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684853,1,168,1,1
6,00befd9aaffd2ce8444ca17b4c0df76b9e72d2ea1ecdb9d90d9d259313a7ed01,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684875,40,167,1,1
7,001326467b05606a3394538cad5a0c1e6e96c191be51106a3086f9940d10cdb1,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684891,1,166,1,1
8,0082529ef1adddce6db2c27a434340a6354be44000bd896321582352e57de8d1,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684910,1,165,1,1
9,00c6fd4342c34209dc92029d003d85738b72b03e8e5409b258e5e10668dc5a09,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684928,1,164,1,1
10,0013f3b3e5aa013cd790fd0112f14ac315c864c01d92af7b14b1ce905575e595,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684948,1,163,1,1
11,006de72c0755633c9ac0efb0f2526a58ed7489e62b40f25647097a0dd85584aa,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684964,1,162,1,1
12,00ff9f8923e0b28853e9568069fcdb47daeecde68d237e82e5279c2b1b925ca0,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684978,1,161,2,1
13,008bf8997af4d565e6dc039fa7056aedd4c97c0fce38d4867c6752d63d4826ce,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684992,1,160,2,1
14,006069af2b7e61cc5e5f2b76b3d55d1e6ed752f2dc0912290d4003e61da41552,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946684993,1,159,2,1
15,001dfe19098b575a8f8cff569e1fe4c5bd0fcd275b9859de0ebe61ab8332fccf,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946685012,1,158,2,1
16,00781096445e592fd0e2a619c699382409fe6d5a5b8c7cb21fa5e8fb9f848230,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946685025,1,157,2,1
17,00932baedf4f6ff5824c371d95104a041b01cc2565cf3e9aa5174c264981a2fe,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,m2,946685042,1,156,2,1
18,00ed209a2c521223229567647049c475f01748277d2fc1c2b01e163d79fd7686,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,m2,946685061,17,155,2,1
19,008be83fc1d0907a3fa826499aa567c2fe847d2f8c07e150095d3bc92d6be83a,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946685077,4,154,2,1
20,00d26df3c17aac61e8341e66f957f37fc32a3e04297070f0aaa07a8a262ca8ca,18YKhbsu5csk396rEyQXCm1GQ2WnMpbmuwGm9L,,946685090,1,153,2,1
21,00cc89bd71bef5efa3f207f16fbecc2d7d1ba486b98f93541c692ab79163ff8e,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,m2,946685106,1,152,2,1
22,0092a672487e3298ad3945bb8a3e7278f78e394c6e407066de9359bf948aec3e,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,m1,946685121,1,151,2,1
23,00b4a0f1c822619c23fa5cafb5aa3fa84a35688c4194a72ae9d35e9f9e93cd79,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,m2,946685138,1,150,2,1
24,00cce24710c333762d777067e579f62237345d9c2154e150c7c9bd69df5ad90b,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,m1,946685147,10,149,3,1
