host,height,besthash,hash_a_414,peers,balance
admin,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,999246.6591
m1,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,109.1154
m2,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,109.7137
m3,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,21.0017
c1,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,85.9884
c2,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,90.5896
c3,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,92.8916
c4,420,00f2a6d2fb111dc6262560bae1136a573928beafd461fea9c0b17edc37c06c8b,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,94.2952
c5,421,00e8b52fa79ed4a8159743a4ee0605d1ec76de07a1d3ed2f08e5bdf96f2840fb,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,95.4128
ca,421,00e8b52fa79ed4a8159743a4ee0605d1ec76de07a1d3ed2f08e5bdf96f2840fb,007cccaf984afa64d5ef0e330a2833f9020bc8faad8ea81f9b17f5a7bfd67535,9,49.3572
