height,epoch,miner,balance,sent
34,1,m2,49.8892,28.7335
34,1,m1,51.4186,46.9477
34,1,m3,49.8892,9.5778
100,2,m3,44.0568,8.4114
100,2,m2,23.0599,12.6359
100,2,m1,108.3831,101.0639
200,3,m2,116.4166,68.6500
200,3,m3,39.7506,7.5501
200,3,m1,115.766,108.0777
300,4,m2,50.7964,29.2778
300,4,m3,32.6175,6.1235
300,4,m1,125.7259,117.5396
400,5,m2,25.2708,13.9625
400,5,m3,28.0544,5.2109
400,5,m1,124.4795,116.3555
500,6,m2,116.0149,68.4089
500,6,m3,25.1413,4.6283
500,6,m1,124.3976,116.2777
600,7,m2,51.5266,29.7160
600,7,m3,119.7946,23.5589
600,7,m1,127.6935,119.4088
