host,height,besthash,hash_a_592,peers,balance
admin,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,999276.5904
m1,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,122.0446
m2,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,53.2762
m3,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,120.7686
c1,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,57.7544
c2,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,71.7882
c3,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,78.8022
c4,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,83.0156
c5,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,86.3224
ca,598,003dece818fd531f137d5996600cb9a2d14c69043ff664d906f170b7ff5dbaad,0072ecfbeb163ba578ebfc67b09e3365d65cfd5a249cfb9b47ef2f6a5981869f,9,49.3564
