height,epoch,miner,balance,sent
34,1,m2,49.8894,28.7336
34,1,m1,49.8892,45.4947
34,1,m3,51.4184,9.8837
100,2,m2,24.0988,13.2593
100,2,m3,46.3867,8.8773
100,2,m1,107.6351,100.3533
200,3,m1,115.1482,107.4908
200,3,m2,116.5179,68.7107
200,3,m3,39.993,7.5986
300,4,m1,121.8194,113.8284
300,4,m2,54.1488,31.2893
300,4,m3,33.379,6.2758
400,5,m2,28.4349,15.8609
400,5,m3,28.1126,5.2225
400,5,m1,123.5186,115.4427
500,6,m2,114.3986,67.4392
500,6,m3,22.7093,4.1419
500,6,m1,127.8597,119.5667
600,7,m2,53.2762,30.7657
600,7,m3,120.7686,23.7537
600,7,m1,122.5504,114.5229
