experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,sigma_id,sigma_s,source,what_it_measures,n,median_s,p90_s,max_s,note
run1-tbt-15s,intercontinentale,1,15,none,true,S1_topology,0.04575,max one-way shortest-path latency between miners from the .gml (rtt/2),"propagation latency; deterministic (jitter 0 us), not a variance",3,,,,
run1-tbt-15s,intercontinentale,1,15,none,true,S2_scheduler_residual_sd,0.82496247,sd of block_time - parent_time - D_logged(observed winner) over measured rounds,quantisation of the 1 s time bar and block timestamps plus miner loop granularity: the noise that actually decides the race,112,1.1005,2.096,2.821,PRIMARY estimate for the Prop. 5.18 bound
run1-tbt-15s,intercontinentale,1,15,none,true,S2b_inversion_gap,0.26229039,D_observed_winner - D_min on inverted rounds,size of the disadvantage overcome by the observed winner (only on inverted rounds; biased by selection),4,0.6525,0.753,0.841,"reported for comparison, not used in the bound"
run1-tbt-15s,intercontinentale,1,15,none,true,S3_packet_loss,,,,,,,,"not computable: packet loss is not observable from the archived logs (1 s resolution, no per-message trace)"
