experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,cluster_head_host,cluster_head_address,esg_miner,tau_miner,n_companies,companies,tau_cluster_sum,c_i_sum,theta_code,theta_thesis,W_k_raw,A_k_alloc,R_k_reconciled,B_k_prev,B_k,rho_k,rho_k_prev,feedback_factor,w_k_recomputed,w_k_int_recomputed,w_k_published,w_k_published_prev,publish_confirm_height,publish_logged_height,publish_logged_weight,recompute_match,implied_W_k_raw_from_published,implied_raw_delta_over_esg_miner,malus_M,psi,w_after_malus,w_effective_g,W_tot_snapshot,share_snapshot,blocks_mined_epoch,blocks_measured_epoch,dumpfunction_effect,malus_trajectory
run1-tbt-15s,intercontinentale,1,15,none,true,12,4,1,36,47,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,64.0,71,128.492,1.116621,6.5096,-0.0,-0.0,1.0,1.0,1.0,128.492,12849,12849,7967,54,53,12849,1,128.49,-0.0001,0.0,1.0,12849,12849.0,147292.0,0.087235,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,4,1,36,47,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,24.17,2,2,c3:esg=92.76:tau=11:c_i=10.2036 c4:esg=70.53:tau=9:c_i=6.3477,20,16.5513,64.0,71,448.384921,3.896554,64.6327,0.0,0.0,1.0,1.0,1.0,448.384921,44838,44838,24749,54,53,44838,1,448.38,-0.0002,0.0,1.0,44838,44838.0,147292.0,0.304416,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,5,1,48,59,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,26.46,2,2,c1:esg=77.16:tau=22:c_i=16.9752 c2:esg=99.26:tau=15:c_i=14.8890,37,31.8642,64.0,71,896.046732,7.786825,99.837,0.0,0.0,1.0,1.0,1.0,896.046732,89605,,89605,,65,89605,,,,0.0,1.0,,,147292.0,0.608349,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,5,1,48,59,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,64.0,71,128.492,1.116621,5.3619,-0.0,-0.0,1.0,1.0,1.0,128.492,12849,,12849,,65,12849,,,,0.0,1.0,,,147292.0,0.087235,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,5,1,48,59,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,24.17,2,2,c3:esg=92.76:tau=11:c_i=10.2036 c4:esg=70.53:tau=9:c_i=6.3477,20,16.5513,64.0,71,448.384921,3.896554,27.2182,0.0,0.0,1.0,1.0,1.0,448.384921,44838,,44838,,65,44838,,,,0.0,1.0,,,147292.0,0.304416,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,6,1,60,71,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,26.46,1,2,c1:esg=77.16:tau=23:c_i=17.7468 c2:esg=99.26:tau=15:c_i=14.8890,38,32.6358,65.0,70,890.003268,8.118131,100.4391,0.0,0.0,1.0,1.0,1.0,890.003268,89000,89000,,78,77,89000,1,890.0,-0.0001,0.0,1.0,89000,89000.0,142520.0,0.624474,8,11,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,6,1,60,71,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,17.5,1,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,65.0,70,110.992,1.012409,4.7774,-0.0,-0.0,1.0,1.0,1.0,110.992,11099,11099,,78,77,11099,1,110.99,-0.0001,0.0,1.0,11099,11099.0,142520.0,0.077877,1,11,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,6,1,60,71,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,24.17,1,2,c3:esg=92.76:tau=11:c_i=10.2036 c4:esg=70.53:tau=9:c_i=6.3477,20,16.5513,65.0,70,424.214921,3.86946,11.1088,0.0,0.0,1.0,1.0,1.0,424.214921,42421,42421,,78,77,42421,1,424.21,-0.0002,0.0,1.0,42421,42421.0,142520.0,0.297649,2,11,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,7,1,72,83,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,26.46,2,2,c1:esg=77.16:tau=23:c_i=17.7468 c2:esg=99.26:tau=16:c_i=15.8816,39,33.6284,69.0,77,942.727464,8.273601,102.7449,0.0,0.0,1.0,1.0,1.0,942.727464,94273,94273,89000,90,89,94273,1,942.73,0.0001,0.0,1.0,94273,94273.0,157243.0,0.599537,9,12,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,intercontinentale,1,15,none,true,12,7,1,72,83,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,17.5,2,1,c5:esg=76.32:tau=8:c_i=6.1056,8,6.1056,69.0,77,141.848,1.244892,3.8687,-0.0,-0.0,1.0,1.0,1.0,141.848,14185,14185,11099,90,89,14185,1,141.85,0.0001,0.0,1.0,14185,14185.0,157243.0,0.090211,0,12,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
