host,address,esg
m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,26.46
m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,24.17
m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,17.50
c1,1QeD1MiyZASH93EjBcPYpb1VbdP8VK68jesBxL,77.16
c2,1Cw3SU7CSR9jNxKrsJvkRJxb1mCgAxQNkG5YD4,99.26
c3,1QQoTiHA5ooKPefGXGPqnbp9s87fVqMgMKBchQ,92.76
c4,1Rt6yAwfP85GtvRLtVND1tX55evgB2m5FDvFRw,70.53
c5,12CAY81XqqGQ53QXsY3oR9oxw3YiaPjrKkdby9,76.32
