height,host,balance
67,c1,99.8044
67,c2,99.8042
67,c3,99.8042
67,c4,99.8044
67,c5,99.804
67,m1,4.3387
67,m2,21.1527
67,m3,40.3508
67,ca,49.3568
73,c1,99.6084
73,c2,99.6638
73,c3,99.719
73,c4,99.7194
73,c5,99.7188
73,m1,7.0717
73,m2,9.9264
73,m3,32.6354
73,ca,49.3568
79,c1,99.386
79,c2,99.497
79,c3,99.6078
79,c4,99.6082
79,c5,99.6632
79,m1,107.8737
79,m2,109.8504
79,m3,32.6354
79,ca,49.3568
85,c1,99.1632
85,c2,99.386
85,c3,99.4968
85,c4,99.5526
85,c5,99.6076
85,m1,7.1386
85,m2,45.095
85,m3,26.6856
85,ca,49.3568
91,c1,98.94
91,c2,99.219
91,c3,99.3858
91,c4,99.4414
91,c5,99.552
91,m1,107.6096
91,m2,45.019
91,m3,26.58
91,ca,49.3568
96,c1,98.7728
96,c2,99.1074
96,c3,99.2746
96,c4,99.386
96,c5,99.441
96,m1,7.1021
96,m2,19.2293
96,m3,21.6188
96,ca,49.3568
101,c1,98.5496
101,c2,98.9402
101,c3,99.163
101,c4,99.2746
101,c5,99.3852
101,m1,107.4765
101,m2,119.4627
101,m3,21.5132
101,ca,49.3568
106,c1,98.3258
106,c2,98.8282
106,c3,99.051
106,c4,99.2186
106,c5,99.3296
106,m1,108.2965
106,m2,119.4627
106,m3,21.5132
106,ca,49.3568
111,c1,98.102
111,c2,98.6602
111,c3,98.9392
111,c4,99.1068
111,c5,99.2736
111,m1,7.2568
111,m2,49.5527
111,m3,17.5654
111,ca,49.3568
116,c1,97.8782
116,c2,98.5484
116,c3,98.8272
116,c4,99.0508
116,c5,99.2178
116,m1,108.144
116,m2,49.5327
116,m3,117.4598
116,ca,49.3568
122,c1,97.7104
122,c2,98.3804
122,c3,98.7712
122,c4,98.939
122,c5,99.1058
122,m1,7.5824
122,m2,20.9679
122,m3,94.3226
122,ca,49.3568
127,c1,97.4868
127,c2,98.2684
127,c3,98.6594
127,c4,98.883
127,c5,99.0498
127,m1,108.4606
127,m2,20.8625
127,m3,94.3226
127,ca,49.3568
133,c1,97.2628
133,c2,98.1004
133,c3,98.5476
133,c4,98.7712
133,c5,98.994
133,m1,6.9672
133,m2,9.3155
133,m3,76.0365
133,ca,49.3568
138,c1,97.0394
138,c2,97.9886
138,c3,98.4356
138,c4,98.7152
138,c5,98.938
138,m1,107.5106
138,m2,109.2397
138,m3,76.6835
138,ca,49.3568
144,c1,96.8154
144,c2,97.8208
144,c3,98.3236
144,c4,98.6036
144,c5,98.882
144,m1,107.846
144,m2,109.5535
144,m3,76.7955
144,ca,49.3568
149,c1,96.6474
149,c2,97.709
149,c3,98.2116
149,c4,98.5478
149,c5,98.7702
149,m1,7.2937
149,m2,45.6643
149,m3,61.7152
149,ca,49.3568
155,c1,96.4236
155,c2,97.5412
155,c3,98.0998
155,c4,98.4358
155,c5,98.7142
155,m1,107.9121
155,m2,45.6643
155,m3,61.7152
155,ca,49.3568
160,c1,96.2
160,c2,97.4292
160,c3,97.988
160,c4,98.3798
160,c5,98.6582
160,m1,8.0576
160,m2,19.4205
160,m3,49.7718
160,ca,49.3568
164,c1,95.9762
164,c2,97.2614
164,c3,97.876
164,c4,98.268
164,c5,98.6024
164,m1,108.7568
164,m2,119.3149
164,m3,49.7718
164,ca,49.3568
170,c1,95.8088
170,c2,97.1494
170,c3,97.764
170,c4,98.212
170,c5,98.4906
170,m1,7.0524
170,m2,48.9032
170,m3,40.1722
170,ca,49.3568
175,c1,95.5852
175,c2,96.9814
175,c3,97.708
175,c4,98.1002
175,c5,98.4348
175,m1,108.2158
175,m2,48.7976
175,m3,40.0668
175,ca,49.3568
181,c1,95.3616
181,c2,96.8138
181,c3,97.596
181,c4,98.0444
181,c5,98.3788
181,m1,109.0542
181,m2,48.7976
181,m3,40.0668
181,ca,49.3568
186,c1,95.1376
186,c2,96.702
186,c3,97.484
186,c4,97.9326
186,c5,98.3228
186,m1,7.8143
186,m2,20.5978
186,m3,32.3028
186,ca,49.3568
192,c1,94.914
192,c2,96.5342
192,c3,97.3722
192,c4,97.8768
