experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run4-tbt-3s,intercontinentale,1,3,none,true,40,m2,3,0.45379987,0.44848811,0.74540348,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,40,m1,8,0.23788875,0.67205452,1.59743328,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,40,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,41,m1,10,0.22239424,0.6296043,0.6744786,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,41,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,42,m2,6,0.35624892,0.34661704,1.66136802,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,42,m1,6,0.18224895,0.96568316,0.90617589,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,43,m1,10,0.2635561,0.41839036,1.11652198,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,43,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,44,m1,8,0.47683626,0.03417593,1.38195298,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,44,m2,3,0.29948874,0.88752604,0.63984494,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,44,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,45,m1,5,0.49327157,0.12119556,1.79881343,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,45,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,45,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,all,m2,84,0.07982227,0.62900889,1.1303519,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,all,m1,272,0.03755107,0.82363901,1.06031798,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,all,m3,35,0.13768716,0.4787705,0.91562395,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
