experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run4-tbt-3s,intercontinentale,1,3,none,true,20,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.7653121,0,9,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,21,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.9568379,0,2,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,21,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.0212013,0,10,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,21,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-1.60943791,-1.9780392,2,10,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,22,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1.09861229,1.04476716,3,1,12,,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,22,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-0.98082925,-1.08453687,3,8,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,22,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.07944154,-2.12930403,1,8,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,23,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.78543703,1,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,23,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.39789527,-0.9752261,1,11,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,23,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.76066313,0,11,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,24,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.85488576,0,0,12,not computable: a zero count in the epoch,m2,m3
