experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run3-tbt-5s,nazionale,1,5,none,true,10,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,0.69314718,0.93288684,8,4,12,m1,m2,
run3-tbt-5s,nazionale,1,5,none,true,10,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,1.99121613,8,0,12,m1,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,10,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,1.05832928,4,0,12,m2,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,11,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,2.39789527,1.0042507,11,1,12,m1,m2,
run3-tbt-5s,nazionale,1,5,none,true,11,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,1.95396371,11,0,12,m1,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,11,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,0.94971301,1,0,12,m2,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,12,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1.79175947,0.93467142,6,1,12,m1,m2,
run3-tbt-5s,nazionale,1,5,none,true,12,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,0.18232156,2.05428405,6,5,12,m1,m3,
run3-tbt-5s,nazionale,1,5,none,true,12,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,-1.60943791,1.11961263,1,5,12,m2,m3,
run3-tbt-5s,nazionale,1,5,none,true,13,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,0.98082925,0.93678233,8,3,12,m1,m2,
run3-tbt-5s,nazionale,1,5,none,true,13,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,2.07944154,2.08625351,8,1,12,m1,m3,
run3-tbt-5s,nazionale,1,5,none,true,13,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,1.09861229,1.14947118,3,1,12,m2,m3,
run3-tbt-5s,nazionale,1,5,none,true,14,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,2.39789527,1.09566493,11,1,12,m1,m2,
run3-tbt-5s,nazionale,1,5,none,true,14,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,1.88919262,11,0,12,m1,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,14,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,0.79352769,1,0,12,m2,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,15,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,,1.06952884,12,0,12,m1,m2,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,15,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,2.01613948,12,0,12,m1,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,15,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,0.94661064,0,0,12,m2,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,16,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,2.39789527,0.96354096,11,1,12,m1,m2,
run3-tbt-5s,nazionale,1,5,none,true,16,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,2.19916812,11,0,12,m1,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,16,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,,1.23562717,1,0,12,m2,m3,not computable: a zero count in the epoch
run3-tbt-5s,nazionale,1,5,none,true,17,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,0.18232156,0.93288684,6,5,12,m1,m2,
