experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run3-tbt-5s,nazionale,1,5,none,true,33,m1,10,0.24919174,0.48818364,0.95161524,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,33,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,34,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,34,m1,10,0.28927889,0.30946998,0.69195096,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,34,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,35,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,35,m1,5,0.33275683,0.53508369,1.01810059,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,35,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,all,m1,223,0.0681606,0.24022691,1.01367145,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,all,m3,25,0.14822909,0.5906319,0.9339381,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,all,m2,69,0.07418602,0.8149635,1.01377027,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
