experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,model,H0,beta1,beta1_se,beta1_ci_low,beta1_ci_high,beta0,deviance,n_points,converged,note,beta1_ci_contains_1,pearson_r,pearson_p,spearman_rho,spearman_p
run3-tbt-5s,nazionale,1,5,none,true,logit(p_hat) ~ b0 + b1*log(w_eff),b1 = 1 (proportional selection),1.98983758,0.13504308,1.72515314,2.25452202,-21.22416352,199.35184219,75,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run3-tbt-5s,nazionale,1,5,none,true,logit(p_hat) ~ b0 + b1*log(p_theoretical),"b1 = 1, b0 = 0",2.02130526,0.13635793,1.75404372,2.2885668,1.72402938,193.50813113,75,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run3-tbt-5s,nazionale,1,5,none,true,log(p_hat_i/p_hat_j) ~ a + b*log(w_i/w_j) (pairs x epochs),"b = 1, a = 0",0.50978773,,,,0.53485179,,41,,"H0 of proportionality: slope = 1, intercept = 0",,0.21506656,0.17689594,0.14431584,0.36800308
