experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,model,H0,beta1,beta1_se,beta1_ci_low,beta1_ci_high,beta0,deviance,n_points,converged,note,beta1_ci_contains_1,pearson_r,pearson_p,spearman_rho,spearman_p
run3-tbt-5s,intercontinentale,1,5,none,true,logit(p_hat) ~ b0 + b1*log(w_eff),b1 = 1 (proportional selection),2.33918791,0.14880282,2.04753438,2.63084145,-24.85032365,137.53421267,78,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run3-tbt-5s,intercontinentale,1,5,none,true,logit(p_hat) ~ b0 + b1*log(p_theoretical),"b1 = 1, b0 = 0",2.3235544,0.14743567,2.03458048,2.61252832,2.03021578,140.40380891,78,1,"binomial GLM with logit link, IRLS; H0 of proportionality: beta1 = 1 with x = log(w_eff/W_tot)",0,,,,
run3-tbt-5s,intercontinentale,1,5,none,true,log(p_hat_i/p_hat_j) ~ a + b*log(w_i/w_j) (pairs x epochs),"b = 1, a = 0",0.78288999,,,,-0.4004473,,42,,"H0 of proportionality: slope = 1, intercept = 0",,0.81749839,0.0,0.67328432,1.03e-06
