txid,publisher_address,publisher_host,node_address,node_host,weight,epoch_tag,height_payload,timestamp_payload,blocktime,confirmations,confirm_height,confirm_height_source
4a451838cfc23ec58291af6a142c3f8e1ffe9c29a31e64ba6426ec21ec72d67a,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,4122,17,210,946685253,946685257,447,212,txs.log UpdateTx
b4e6ef6f73624ccd6c97cb14b5cc5bec46922918e6ba8a55d461a4013ed229bf,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,12999,17,210,946685253,946685257,447,212,txs.log UpdateTx
1f771b83adc75a591ea54a805ac2866dff1f8bf751c767602be1eb8729961a41,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,42907,18,221,946685283,946685284,437,222,txs.log UpdateTx
bc2249bcc9c12f460b329fb226571b3933518609065d462ef07e067d1bb5dcd4,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,6539,18,221,946685283,946685284,437,222,txs.log UpdateTx
bca9a059a9242f629bb544e92313b58ce2c742bc9617f466a657a2c6e43154f9,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,15454,18,221,946685283,946685284,437,222,txs.log UpdateTx
e33829f3dbb619c54a804ed1bcc5a8240b2e2cb1956062672c1c1005b338b4c8,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,12999,19,233,946685313,946685316,425,234,txs.log UpdateTx
b0c4a46e4da49035a7d478ed5801ef542bb15ba2696064d5cdb042e8c05eb054,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,8243,19,233,946685316,946685318,424,235,txs.log UpdateTx
873ff56e1cba3a55765661f43cccb00b96946e99196d70c3ecee1d366a6dfab1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,27749,20,245,946685346,946685347,413,246,txs.log UpdateTx
eab904aef828b51e9c98d126e2ba65eace19be78e86ccdfdd2ab0ef504f25b91,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,m3,6539,20,245,946685346,946685347,413,246,txs.log UpdateTx
7a996985bc7be304c960f58d5bd33e23d72467015e22db4ebc4e08f2577855e7,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,15454,20,245,946685346,946685347,413,246,txs.log UpdateTx
