host,height,besthash,hash_at_reference,peers,balance_gas
admin,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,999166.0538
m1,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,108.3203
m2,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,109.0814
m3,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,93.9473
c1,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,90.8662
c2,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,93.8438
c3,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,95.3002
c4,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,96.1956
c5,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,96.9234
ca,658,0009b93851018c2e3d9a4d8b7aecd5bffccb62606163af07583aacac3c5194fd,0085e74110dc5ffaa530817917d72249950c1498fae2c46955c9e60b906179d0,9,49.3564
