height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
587,00dd42fdf8a4ff78db42030c4d4507d344f69fce43efe9a3f582ec20281d1afc,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686231,3,72,49,0
588,004b784326aee4547188a0a4a23cda144e148a1317a6b8d9945510a8e53903d7,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686235,2,71,50,0
589,004532d17a5da36b227fb2b130df798a0ffd1c1c645b007f6d9f2fd20a59a5cf,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686237,2,70,50,0
590,001a8e16f653b0e8b2a3dfad368e7ae1140543b9712fb79c7030a9ce5827c8ed,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686240,4,69,50,0
591,006b13151fd8487fbf65f60e92c005a95003e087df803d55ed3ae0a66c8030fd,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686243,3,68,50,0
592,0055b71f2e28d247b0a253625c39e8aaa00329177a60afa4f8e421c338b9e33c,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686246,4,67,50,0
593,00e35fd57cf913472d7703d478568ff13f61c531be8f4d70b1afeff2427ec3e5,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686248,1,66,50,0
594,002e048a00c916756e1300666859cd7502c2bee1c3d80e018186fa4ef392a3a4,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686251,3,65,50,0
595,007318bb26bbf10fe05d8c405388d53a95be50733be8449d4b562837c8dc8257,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686252,1,64,50,0
596,00c5f2684697b11b30238b2cd5189ed72fcb4f3f0cd8f029b1d8e9b31179eba7,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686254,2,63,50,0
597,004f7d20c1ef469145fb01fe9db24d03a61f769c35a9443711c7ec5590741029,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686256,3,62,50,0
598,00ce2c0268aa968687a6b631e39032062caee4257edcb06c33485a2f87ddfe3b,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686259,2,61,50,0
599,004690f87796e88d53e17c9621aadadc259f3d097f13915ae6c297168e764e6f,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686263,4,60,50,0
600,000772882b82701092b4c3af9c1a643da58a1e9a06c6d0879600d5465d0e20be,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686265,1,59,51,0
601,00728dc013595d3951fd1ac77fcadcd104279ab95efbc77480d5359e145027fb,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686268,3,58,51,0
602,00cf95401101a7f5dc16e24c0addb360f41dc9047af257123eb75394ef845a8d,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686270,5,57,51,0
603,00f8dde0054f4f42daa9318239ede55f04b1ba1096accd47a37ad0eba8a1e337,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,m1,946686273,1,56,51,0
604,00000a491dc3710fd7c2598100904472f1f3eb1dc920325cc29ff5ecfa615ec9,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,m2,946686274,1,55,51,0
