send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
160,14,m2,49.6028,28.5617,161
160,14,m1,49.8306,45.4391,161
160,14,m3,49.6022,9.5204,161
170,15,m3,40.2632,7.6526,171
170,15,m2,21.7441,11.8465,171
170,15,m1,104.3463,97.229,171
184,16,m2,110.3662,65.0197,185
184,16,m3,32.545,6.109,185
184,16,m1,107.2239,99.9627,185
194,17,m3,26.5356,4.9071,195
194,17,m2,45.1959,25.9175,195
194,17,m1,107.4448,100.1726,195
204,18,m2,119.2334,70.34,205
204,18,m3,21.5835,3.9167,205
205,18,m1,107.4782,100.2043,206
217,19,m3,117.5456,23.1091,218
217,19,m2,48.7724,28.0634,218
217,19,m1,108.3321,101.0155,218
231,20,m3,94.2859,18.4572,232
231,20,m2,20.726,11.2356,232
231,20,m1,108.2778,100.9639,232
242,21,m3,75.7077,14.7415,243
242,21,m2,110.4008,65.0405,243
243,21,m1,107.2301,99.9686,244
253,22,m3,60.8452,11.769,254
253,22,m2,45.2097,25.9258,254
253,22,m1,108.1933,100.8836,254
264,23,m3,49.031,9.4062,265
264,23,m2,119.7755,70.6653,265
264,23,m1,107.5135,100.2378,265
278,24,m3,40.189,7.6378,279
278,24,m2,49.3832,28.4299,279
278,24,m1,107.3231,100.0569,279
291,25,m3,32.4298,6.086,292
291,25,m2,20.7727,11.2636,292
291,25,m1,108.2846,100.9704,292
303,26,m3,26.2986,4.8597,304
303,26,m2,109.1221,64.2733,304
303,26,m1,108.3966,101.0768,304
315,27,m3,21.2879,3.8576,316
315,27,m2,45.1836,25.9102,316
315,27,m1,107.853,100.5603,316
327,28,m3,117.2793,23.0559,328
327,28,m2,119.2284,70.337,328
327,28,m1,108.1839,100.8747,328
339,29,m3,94.1022,18.4204,340
339,29,m2,49.8066,28.684,340
339,29,m1,107.1196,99.8636,340
351,30,m3,75.6366,14.7273,352
351,30,m2,21.532,11.7192,352
351,30,m1,107.552,100.2744,352
362,31,m3,60.7287,11.7457,363
362,31,m2,109.597,64.5582,363
362,31,m1,108.4356,101.1138,363
374,32,m3,48.862,9.3724,375
374,32,m2,44.9936,25.7962,375
374,32,m1,108.093,100.7883,375
384,33,m3,39.3682,7.4736,385
384,33,m2,119.244,70.3464,385
384,33,m1,108.0851,100.7808,385
397,34,m3,31.8494,5.9699,398
397,34,m2,48.915,28.149,398
397,34,m1,107.9361,100.6393,398
410,35,m3,25.7581,4.7516,411
410,35,m2,20.6152,11.1691,411
411,35,m1,108.3416,101.0245,412
420,36,m3,20.8853,3.7771,421
420,36,m2,109.1477,64.2886,421
420,36,m1,108.1069,100.8016,421
432,37,m3,117.063,23.0126,433
432,37,m2,44.8497,25.7098,433
433,37,m1,108.1217,100.8156,434
444,38,m3,93.9292,18.3858,445
444,38,m2,118.9891,70.1935,445
444,38,m1,108.2835,100.9693,445
457,39,m3,75.6196,14.7239,458
457,39,m2,48.7862,28.0717,458
457,39,m1,107.908,100.6126,458
470,40,m3,61.0185,11.8037,471
470,40,m2,21.1567,11.494,471
471,40,m1,107.5592,100.2812,472
482,41,m3,49.0934,9.4187,483
482,41,m2,109.4529,64.4717,483
482,41,m1,108.315,100.9992,483
492,42,m3,39.5535,7.5107,493
492,42,m2,44.8302,25.6981,493
492,42,m1,108.1936,100.8839,493
506,43,m3,32.1158,6.0232,507
506,43,m2,120.1799,70.9079,507
506,43,m1,107.0639,99.8107,507
518,44,m3,26.0474,4.8095,519
518,44,m2,49.6986,28.6192,519
518,44,m1,107.5892,100.3097,519
529,45,m3,22.1739,4.0348,530
529,45,m2,21.0342,11.4205,530
529,45,m1,107.0495,99.797,530
541,46,m3,117.9883,23.1977,542
541,46,m2,109.1383,64.283,542
541,46,m1,108.5743,101.2456,542
556,47,m3,94.7454,18.5491,557
556,47,m2,44.9285,25.7571,557
556,47,m1,108.1307,100.8242,557
567,48,m3,76.0157,14.8031,568
567,48,m2,119.0176,70.2106,568
567,48,m1,108.3479,101.0305,568
579,49,m3,60.9736,11.7947,580
579,49,m2,49.1862,28.3117,580
579,49,m1,107.8386,100.5467,580
589,50,m3,49.0281,9.4056,590
589,50,m2,20.8775,11.3265,590
589,50,m1,108.0449,100.7427,590
601,51,m3,39.5773,7.5155,602
601,51,m2,109.5546,64.5328,602
601,51,m1,108.0502,100.7477,602
614,52,m3,31.9404,5.9881,615
614,52,m2,45.4842,26.0905,615
614,52,m1,107.6791,100.3951,615
625,53,m3,25.8311,4.7662,626
625,53,m2,119.6693,70.6016,626
624,53,m1,107.836,100.5442,625
636,54,m3,20.9139,3.7828,637
636,54,m2,48.9433,28.166,637
636,54,m1,108.1168,100.811,637
650,55,m3,117.0859,23.0172,651
650,55,m2,20.5381,11.1229,651
650,55,m1,108.5212,101.1951,651
662,56,m3,93.9473,18.3895,663
662,56,m2,109.0814,64.2488,663
662,56,m1,108.5443,101.2171,663
672,57,m3,75.4364,14.6873,673
672,57,m2,45.9474,26.3684,673
672,57,m1,106.94,99.693,673
685,58,m3,61.0077,11.8015,686
685,58,m2,119.4282,70.4569,686
685,58,m1,107.9028,100.6077,686
697,59,m3,49.186,9.4372,698
697,59,m2,49.3731,28.4239,698
697,59,m1,107.5755,100.2967,698
