host,height,besthash,hash_a_596,peers,balance
admin,602,004d97bb3d2b94bbd157c1ec5de82a1743775cb41ca4b6908821f7270ef15b15,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,999345.5588
m1,602,004d97bb3d2b94bbd157c1ec5de82a1743775cb41ca4b6908821f7270ef15b15,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,108.477
m2,602,004d97bb3d2b94bbd157c1ec5de82a1743775cb41ca4b6908821f7270ef15b15,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,22.4128
m3,602,004d97bb3d2b94bbd157c1ec5de82a1743775cb41ca4b6908821f7270ef15b15,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,95.9548
c1,603,00733104f5277e6d6c4fd83bd1ecd7527b587333a40e89f8bc7453ad71e93e50,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,57.759
c2,603,00733104f5277e6d6c4fd83bd1ecd7527b587333a40e89f8bc7453ad71e93e50,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,71.7342
c3,603,00733104f5277e6d6c4fd83bd1ecd7527b587333a40e89f8bc7453ad71e93e50,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,78.746
c4,603,00733104f5277e6d6c4fd83bd1ecd7527b587333a40e89f8bc7453ad71e93e50,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,82.9572
c5,603,00733104f5277e6d6c4fd83bd1ecd7527b587333a40e89f8bc7453ad71e93e50,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,86.3244
ca,603,00733104f5277e6d6c4fd83bd1ecd7527b587333a40e89f8bc7453ad71e93e50,0047fc7c8928fc713d3cf5365f71e4582486c51955617615ccc7362509deb697,9,49.357
