tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
199,200,admin,12,2.167,2.000,-0.167,1.000,2000-01-01 00:07:06,9,run/data/admin/debug.log,898
199,200,m1,12,2.167,2.000,-0.167,1.000,2000-01-01 00:07:03,10,run/data/m1/debug.log,758
199,200,m2,12,2.167,2.000,-0.167,1.000,2000-01-01 00:07:03,10,run/data/m2/debug.log,801
199,200,m3,12,2.167,2.000,-0.167,1.000,2000-01-01 00:07:03,10,run/data/m3/debug.log,782
200,201,admin,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:10,9,run/data/admin/debug.log,949
200,201,m1,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:06,10,run/data/m1/debug.log,887
200,201,m2,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:06,10,run/data/m2/debug.log,915
200,201,m3,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:06,10,run/data/m3/debug.log,920
201,202,admin,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:12,2,run/data/admin/debug.log,1006
201,202,m1,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:09,3,run/data/m1/debug.log,1103
201,202,m2,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:09,3,run/data/m2/debug.log,982
201,202,m3,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:09,3,run/data/m3/debug.log,1019
202,203,admin,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:15,2,run/data/admin/debug.log,1020
202,203,m1,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:11,3,run/data/m1/debug.log,1362
202,203,m2,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:13,3,run/data/m2/debug.log,1041
202,203,m3,12,2.417,2.000,-0.417,1.000,2000-01-01 00:07:13,3,run/data/m3/debug.log,1078
203,204,admin,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:17,2,run/data/admin/debug.log,1034
203,204,m1,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:15,3,run/data/m1/debug.log,1519
203,204,m2,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:16,3,run/data/m2/debug.log,1056
203,204,m3,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:16,3,run/data/m3/debug.log,1093
204,205,admin,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:21,2,run/data/admin/debug.log,1048
204,205,m1,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:17,3,run/data/m1/debug.log,1784
204,205,m2,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:18,3,run/data/m2/debug.log,1071
204,205,m3,12,2.583,2.000,-0.583,1.000,2000-01-01 00:07:18,3,run/data/m3/debug.log,1108
205,206,admin,12,2.667,2.000,-0.667,1.000,2000-01-01 00:07:24,2,run/data/admin/debug.log,1062
205,206,m1,12,2.667,2.000,-0.667,1.000,2000-01-01 00:07:20,3,run/data/m1/debug.log,2171
205,206,m2,12,2.667,2.000,-0.667,1.000,2000-01-01 00:07:21,3,run/data/m2/debug.log,1087
205,206,m3,12,2.667,2.000,-0.667,1.000,2000-01-01 00:07:21,3,run/data/m3/debug.log,1124
206,207,admin,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:26,5,run/data/admin/debug.log,1076
206,207,m1,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:24,6,run/data/m1/debug.log,2602
206,207,m2,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:25,6,run/data/m2/debug.log,1102
206,207,m3,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:25,6,run/data/m3/debug.log,1139
207,208,admin,12,2.750,2.000,-0.750,1.000,2000-01-01 00:07:29,5,run/data/admin/debug.log,1106
207,208,m1,12,2.750,2.000,-0.750,1.000,2000-01-01 00:07:26,6,run/data/m1/debug.log,2764
207,208,m2,12,2.750,2.000,-0.750,1.000,2000-01-01 00:07:26,6,run/data/m2/debug.log,1233
207,208,m3,12,2.750,2.000,-0.750,1.000,2000-01-01 00:07:27,6,run/data/m3/debug.log,1170
208,209,admin,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:33,5,run/data/admin/debug.log,1136
208,209,m1,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:29,6,run/data/m1/debug.log,2847
208,209,m2,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:29,6,run/data/m2/debug.log,1537
208,209,m3,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:30,6,run/data/m3/debug.log,1201
209,210,admin,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:35,5,run/data/admin/debug.log,1167
209,210,m1,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:32,6,run/data/m1/debug.log,2945
209,210,m2,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:32,6,run/data/m2/debug.log,2241
209,210,m3,12,2.917,2.000,-0.917,1.000,2000-01-01 00:07:34,6,run/data/m3/debug.log,1237
210,211,admin,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:37,2,run/data/admin/debug.log,1207
210,211,m1,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:35,3,run/data/m1/debug.log,3873
210,211,m2,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:35,3,run/data/m2/debug.log,2411
210,211,m3,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:36,3,run/data/m3/debug.log,1268
211,212,admin,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:40,2,run/data/admin/debug.log,1234
211,212,m1,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:37,3,run/data/m1/debug.log,3955
211,212,m2,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:38,3,run/data/m2/debug.log,2455
211,212,m3,12,3.000,2.000,-1.000,1.000,2000-01-01 00:07:38,3,run/data/m3/debug.log,1283
212,213,admin,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:44,2,run/data/admin/debug.log,1250
212,213,m1,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:40,3,run/data/m1/debug.log,4069
212,213,m2,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:41,3,run/data/m2/debug.log,2470
212,213,m3,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:41,3,run/data/m3/debug.log,1298
213,214,admin,12,2.833,2.000,-0.833,1.000,2000-01-01 00:07:46,2,run/data/admin/debug.log,1264
