source,target,latency_ms,jitter,packet_loss
0,0,0.2,0 us,0.0
0,1,3.838,0 us,0.0002954
0,2,5.103,0 us,0.0003315
0,3,1.879,0 us,0.0004
0,4,2.707,0 us,0.0004
0,7,2.4050000000000002,0 us,0.0004
1,1,0.2,0 us,0.0
1,2,1.819,0 us,0.0002377
1,5,2.616,0 us,0.0004
1,6,1.942,0 us,0.0004
2,2,0.2,0 us,0.0
2,8,2.544,0 us,0.0004
2,9,3.198,0 us,0.0004
3,3,0.2,0 us,0.0
4,4,0.2,0 us,0.0
5,5,0.2,0 us,0.0
6,6,0.2,0 us,0.0
7,7,0.2,0 us,0.0
8,8,0.2,0 us,0.0
9,9,0.2,0 us,0.0
