height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,00b20b6d8d22b131c0860766577a900e96596c5680b2091e3b216df402b96bea,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684801,1,167,1,1
2,00ad82502779c7c39e5cc3b217e53f9a9f0d42a9da8fceb965f4335db41ed665,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684802,1,166,1,1
3,002b36e2e8c087d7308073652b332c8572e82bf78e1e0494acc5a98beb89aacc,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684816,4,165,1,1
4,002ff642ee8af8301108df6956216a6d74e82cac2a7b26b41de478c9b9f1dd11,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684832,1,164,1,1
5,0085f0617b3151ad2f421d7991dd933bbb8801b4736a6d194dd3ae62304c4c08,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684853,1,163,1,1
6,00b255e86b127e836c92610dc53944a0c5c1bbcde3fef1929feabe9b098f2605,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684875,40,162,1,1
7,00e4623ac11cbe84e76c11a95880e69d90ea9aec8d1dd5a503431c640692e0b2,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684891,1,161,1,1
8,00497313cba0cf8264d49f540deed6a514314afdac33dcdb418a9e47ce9b4d35,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684910,1,160,1,1
9,00b229b9a389b62d707ccfb8cf466a81e0944848a0b98d189a107978694b1da9,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684928,1,159,1,1
10,006639a4a00058ba6432d9e059333e144688977d33796ceb5fcc9172bfb95c77,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684948,1,158,1,1
11,00eb12fb1b84587cf5d44aff75027004373676688d130a28e55ae6bcb35ca8b4,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684964,1,157,1,1
12,00d3f72abdc6754f55efb15803c8680ad1549923397cd8a1b4f3909bdd28ae95,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684986,1,156,2,1
13,00039dfdbfd6b572aa99a517143331995d125266e37b43b5b12a86c250975842,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684993,1,155,2,1
14,00b9458af69f1b4de7ac3a7b2ddd18688e6a25a04c64136addefd9ac23182e82,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946684998,1,154,2,1
15,0007ec4294ad2c539031999bb7799814b2ab9b1c104c1eff67a7854b4622828a,19NrXQ1QxpecGR2a5WjtF1U5WqRZQy5oPx8Vw7,,946685013,1,153,2,1
16,00cc02ba8c0165e93e0fdacc25a06b9bb57c555dc555da1f6d6431c18cf60c83,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,m3,946685030,1,152,2,1
