host,height,besthash,hash_at_reference,peers,balance_gas
admin,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,999254.2344
m1,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,110.7072
m2,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,109.0016
m3,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,23.2884
c1,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,83.8232
c2,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,89.1458
c3,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,91.8378
c4,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,93.4064
c5,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,94.6934
ca,167,009a7bb956472bdabfec2c9ae7f4a90287e94187a9d35a25161e6edfb52278d4,00f20ca393565fe9a60b933308cae6c92beb9adef35d4e0c61c077384b2e2845,9,49.3566
