tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
71,72,m1,12,16.500,15.000,-1.500,7.500,2000-01-01 00:18:04,6,run/data/m1/debug.log,2164
71,72,m2,12,16.500,15.000,-1.500,7.500,2000-01-01 00:18:04,6,run/data/m2/debug.log,1605
71,72,m3,12,16.500,15.000,-1.500,7.500,2000-01-01 00:18:05,6,run/data/m3/debug.log,805
72,73,admin,12,17.000,15.000,-2.000,7.500,2000-01-01 00:18:47,5,run/data/admin/debug.log,767
72,73,m1,12,17.000,15.000,-2.000,7.500,2000-01-01 00:18:26,6,run/data/m1/debug.log,2608
72,73,m2,12,17.000,15.000,-2.000,7.500,2000-01-01 00:18:26,6,run/data/m2/debug.log,2468
72,73,m3,12,17.000,15.000,-2.000,7.500,2000-01-01 00:18:27,6,run/data/m3/debug.log,840
73,74,admin,12,17.167,15.000,-2.167,7.500,2000-01-01 00:19:02,2,run/data/admin/debug.log,797
73,74,m1,12,17.167,15.000,-2.167,7.500,2000-01-01 00:18:47,3,run/data/m1/debug.log,3375
73,74,m2,12,17.250,15.000,-2.250,7.500,2000-01-01 00:18:47,3,run/data/m2/debug.log,2566
73,74,m3,12,17.250,15.000,-2.250,7.500,2000-01-01 00:18:48,3,run/data/m3/debug.log,882
74,75,admin,12,17.083,15.000,-2.083,7.500,2000-01-01 00:19:25,5,run/data/admin/debug.log,811
74,75,m1,12,17.083,15.000,-2.083,7.500,2000-01-01 00:19:02,6,run/data/m1/debug.log,3550
74,75,m2,12,17.083,15.000,-2.083,7.500,2000-01-01 00:19:03,6,run/data/m2/debug.log,2607
74,75,m3,12,17.083,15.000,-2.083,7.500,2000-01-01 00:19:03,6,run/data/m3/debug.log,907
75,76,admin,12,17.667,15.000,-2.667,7.500,2000-01-01 00:19:45,2,run/data/admin/debug.log,841
75,76,m1,12,17.667,15.000,-2.667,7.500,2000-01-01 00:19:25,3,run/data/m1/debug.log,3626
75,76,m2,12,17.667,15.000,-2.667,7.500,2000-01-01 00:19:25,3,run/data/m2/debug.log,4103
75,76,m3,12,17.667,15.000,-2.667,7.500,2000-01-01 00:19:26,3,run/data/m3/debug.log,938
76,77,admin,12,18.167,15.000,-3.167,7.500,2000-01-01 00:19:54,2,run/data/admin/debug.log,855
76,77,m1,12,18.167,15.000,-3.167,7.500,2000-01-01 00:19:45,3,run/data/m1/debug.log,3714
76,77,m2,12,18.167,15.000,-3.167,7.500,2000-01-01 00:19:46,3,run/data/m2/debug.log,4138
76,77,m3,12,18.167,15.000,-3.167,7.500,2000-01-01 00:19:46,3,run/data/m3/debug.log,957
77,78,admin,12,17.333,15.000,-2.333,7.500,2000-01-01 00:20:05,2,run/data/admin/debug.log,873
77,78,m1,12,17.333,15.000,-2.333,7.500,2000-01-01 00:19:54,3,run/data/m1/debug.log,3756
77,78,m2,12,17.333,15.000,-2.333,7.500,2000-01-01 00:19:55,3,run/data/m2/debug.log,4157
77,78,m3,12,17.333,15.000,-2.333,7.500,2000-01-01 00:19:55,3,run/data/m3/debug.log,972
78,79,admin,12,16.833,15.000,-1.833,7.500,2000-01-01 00:20:26,5,run/data/admin/debug.log,887
78,79,m1,12,16.833,15.000,-1.833,7.500,2000-01-01 00:20:05,6,run/data/m1/debug.log,4706
78,79,m2,12,16.833,15.000,-1.833,7.500,2000-01-01 00:20:06,6,run/data/m2/debug.log,4172
78,79,m3,12,16.833,15.000,-1.833,7.500,2000-01-01 00:20:06,6,run/data/m3/debug.log,992
79,80,admin,12,17.667,15.000,-2.667,7.500,2000-01-01 00:20:44,5,run/data/admin/debug.log,917
79,80,m1,12,17.667,15.000,-2.667,7.500,2000-01-01 00:20:26,6,run/data/m1/debug.log,5227
79,80,m2,12,17.667,15.000,-2.667,7.500,2000-01-01 00:20:26,6,run/data/m2/debug.log,4488
79,80,m3,12,17.667,15.000,-2.667,7.500,2000-01-01 00:20:27,6,run/data/m3/debug.log,1023
80,81,admin,12,18.000,15.000,-3.000,7.500,2000-01-01 00:20:56,2,run/data/admin/debug.log,947
80,81,m1,12,18.000,15.000,-3.000,7.500,2000-01-01 00:20:43,3,run/data/m1/debug.log,5992
80,81,m2,12,18.000,15.000,-3.000,7.500,2000-01-01 00:20:43,3,run/data/m2/debug.log,4729
80,81,m3,12,18.000,15.000,-3.000,7.500,2000-01-01 00:20:44,3,run/data/m3/debug.log,1057
81,82,admin,12,17.000,15.000,-2.000,7.500,2000-01-01 00:21:08,2,run/data/admin/debug.log,961
81,82,m1,12,17.000,15.000,-2.000,7.500,2000-01-01 00:20:55,3,run/data/m1/debug.log,6035
81,82,m2,12,17.000,15.000,-2.000,7.500,2000-01-01 00:20:56,3,run/data/m2/debug.log,4767
81,82,m3,12,17.000,15.000,-2.000,7.500,2000-01-01 00:20:56,3,run/data/m3/debug.log,1079
82,83,admin,12,16.417,15.000,-1.417,7.500,2000-01-01 00:21:20,2,run/data/admin/debug.log,975
82,83,m1,12,16.417,15.000,-1.417,7.500,2000-01-01 00:21:07,3,run/data/m1/debug.log,6133
82,83,m2,12,16.417,15.000,-1.417,7.500,2000-01-01 00:21:08,3,run/data/m2/debug.log,4782
82,83,m3,12,16.417,15.000,-1.417,7.500,2000-01-01 00:21:08,3,run/data/m3/debug.log,1094
83,84,admin,12,16.250,15.000,-1.250,7.500,2000-01-01 00:21:34,2,run/data/admin/debug.log,989
83,84,m1,12,16.250,15.000,-1.250,7.500,2000-01-01 00:21:20,3,run/data/m1/debug.log,7096
83,84,m2,12,16.250,15.000,-1.250,7.500,2000-01-01 00:21:21,3,run/data/m2/debug.log,4797
83,84,m3,12,16.250,15.000,-1.250,7.500,2000-01-01 00:21:20,3,run/data/m3/debug.log,1109
84,85,admin,12,15.667,15.000,-0.667,7.500,2000-01-01 00:21:45,2,run/data/admin/debug.log,1005
84,85,m1,12,15.667,15.000,-0.667,7.500,2000-01-01 00:21:34,3,run/data/m1/debug.log,7433
84,85,m2,12,15.667,15.000,-0.667,7.500,2000-01-01 00:21:35,3,run/data/m2/debug.log,4812
84,85,m3,12,15.667,15.000,-0.667,7.500,2000-01-01 00:21:35,3,run/data/m3/debug.log,1124
85,86,admin,12,14.917,15.000,+0.083,7.500,2000-01-01 00:22:03,5,run/data/admin/debug.log,1022
85,86,m1,12,14.917,15.000,+0.083,7.500,2000-01-01 00:21:46,6,run/data/m1/debug.log,7449
85,86,m2,12,14.917,15.000,+0.083,7.500,2000-01-01 00:21:45,6,run/data/m2/debug.log,4842
