txid,publisher_address,publisher_host,node_address,node_host,weight,epoch_tag,height_payload,timestamp_payload,blocktime,confirmations,confirm_height,confirm_height_source
c090ce1ad37a7ce8ef2d269b00ce2cd5dbb85a15289dd5a19715c44a5f137bb5,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,18080,12,149,946685268,946685272,380,150,txs.log UpdateTx
8b0c2e862f9bced7dd0ded2b36f12567202b2cbd1f69c9dfd6c2caafa49d2df8,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,52503,13,161,946685313,946685314,368,162,txs.log UpdateTx
b4219f341b3ff4c5365813ef73dd234677a471c0f67fbd24d0b8fccb528da4fb,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,15434,14,173,946685361,946685363,356,174,txs.log UpdateTx
03dc49d9e10957181e3adab3426de87d89960ae88da17a854061360038d3f31e,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,4122,14,173,946685361,946685363,356,174,txs.log UpdateTx
7d81ce4ca6357b8c57ed206aabca9082ad04e8b689d499b79b8eef308bf5c8d0,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,43947,15,185,946685409,946685411,344,186,txs.log UpdateTx
0eafbc8aa8b0e53020917efc4ce8972772271e737dd9f950d576636585f842f0,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,8243,15,185,946685409,946685411,344,186,txs.log UpdateTx
d086b6116b60157d455767058d56df50ce06e39cba17f9db4142f635e7c5a797,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,20535,15,185,946685409,946685411,344,186,txs.log UpdateTx
27c627af27199fe04e44db9661c4538482ecd6b462d8e7e1de8c87befd3d536e,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,44404,16,197,946685451,946685452,332,198,txs.log UpdateTx
0c013568aaad7ba43b847ca7656ee86922972fbd3dda6cc6c8e860497af6b71e,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,15454,16,197,946685451,946685455,331,199,txs.log UpdateTx
f59e8b50b0bcf1d34875064a834c36ba2c5a56a2e20b34b695264c63e0610425,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,51006,17,209,946685490,946685494,320,210,txs.log UpdateTx
0b3efd48a548f88613d01c38ca255121ea29d5220d101f7eef7586a511b23551,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,18080,17,209,946685490,946685494,320,210,txs.log UpdateTx
73231a918315838578bd78a8db440e3e746209883bea0f87547c3338aec906e4,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,5826,17,209,946685490,946685494,320,210,txs.log UpdateTx
df15a4acb20370dea2e7341e3161677b2f2eae4ace973e0f5ea0aacbef0c6d21,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,45901,18,221,946685535,946685537,308,222,txs.log UpdateTx
90378a0be89945dd4a321accd9716372afdf522498b3f8c5b51d8b80ab2f3466,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,6539,18,221,946685535,946685537,308,222,txs.log UpdateTx
98cba4186de4e700ef94d6dded4327b647ad69721e080d8dbdb7ac368db2df0c,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,52503,19,233,946685580,946685582,296,234,txs.log UpdateTx
1fefe49c43d018cf9737f8ef1c57f7b660829e9137485dc13c464d4b275edcd6,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,15434,19,233,946685580,946685582,296,234,txs.log UpdateTx
74615123fccbca90cb882f9cd7adb83a1742483ca442c756676f0672d22c90c6,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,m3,8243,19,233,946685580,946685582,296,234,txs.log UpdateTx
4753d2410db862e455dba48d36867c10881e70c4998d072776a08c993e69adf6,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,m2,17908,20,245,946685625,946685626,284,246,txs.log UpdateTx
a8d2e2daccdb55674d6171ab82c0cd085fb7f6f6f0180bb3672ede8eec911029,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,51006,20,245,946685625,946685626,284,246,txs.log UpdateTx
516c5cca2ba6ed2aa43c83f0d5ff774ff319d4a22b1d0d6544c0aabcbe5f4f73,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,m1,52503,21,257,946685667,946685671,272,258,txs.log UpdateTx
