tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
155,156,m1,12,4.083,3.000,-1.083,1.500,2000-01-01 00:08:11,3,run/data/m1/debug.log,4062
155,156,m2,12,4.083,3.000,-1.083,1.500,2000-01-01 00:08:12,3,run/data/m2/debug.log,1878
155,156,m3,12,4.083,3.000,-1.083,1.500,2000-01-01 00:08:12,3,run/data/m3/debug.log,1082
156,157,admin,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:18,2,run/data/admin/debug.log,993
156,157,m1,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:13,3,run/data/m1/debug.log,4600
156,157,m2,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:14,3,run/data/m2/debug.log,1893
156,157,m3,12,3.750,3.000,-0.750,1.500,2000-01-01 00:08:14,3,run/data/m3/debug.log,1097
157,158,admin,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:20,2,run/data/admin/debug.log,1007
157,158,m1,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:17,3,run/data/m1/debug.log,4999
157,158,m2,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:19,3,run/data/m2/debug.log,1908
157,158,m3,12,3.833,3.000,-0.833,1.500,2000-01-01 00:08:19,3,run/data/m3/debug.log,1112
158,159,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:22,2,run/data/admin/debug.log,1021
158,159,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:20,3,run/data/m1/debug.log,5461
158,159,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:21,3,run/data/m2/debug.log,1924
158,159,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:21,3,run/data/m3/debug.log,1128
159,160,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:27,2,run/data/admin/debug.log,1035
159,160,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:22,3,run/data/m1/debug.log,6160
159,160,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:23,3,run/data/m2/debug.log,1939
159,160,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:23,3,run/data/m3/debug.log,1143
160,161,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:31,5,run/data/admin/debug.log,1049
160,161,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:26,6,run/data/m1/debug.log,6371
160,161,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:27,6,run/data/m2/debug.log,1954
160,161,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:27,6,run/data/m3/debug.log,1158
161,162,admin,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:34,2,run/data/admin/debug.log,1080
161,162,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:31,3,run/data/m1/debug.log,6887
161,162,m2,12,3.667,3.000,-0.667,1.500,2000-01-01 00:08:32,3,run/data/m2/debug.log,2020
161,162,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:08:32,3,run/data/m3/debug.log,1176
162,163,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:39,9,run/data/admin/debug.log,1098
162,163,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:35,10,run/data/m1/debug.log,6927
162,163,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:34,10,run/data/m2/debug.log,2063
162,163,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:35,10,run/data/m3/debug.log,1215
163,164,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:43,9,run/data/admin/debug.log,1151
163,164,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:38,10,run/data/m1/debug.log,7642
163,164,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:38,10,run/data/m2/debug.log,2230
163,164,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:38,10,run/data/m3/debug.log,1622
164,165,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:48,9,run/data/admin/debug.log,1206
164,165,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:43,10,run/data/m1/debug.log,8011
164,165,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:43,10,run/data/m2/debug.log,2444
164,165,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:43,10,run/data/m3/debug.log,2110
165,166,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:51,2,run/data/admin/debug.log,1257
165,166,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:47,3,run/data/m1/debug.log,8665
165,166,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:47,3,run/data/m2/debug.log,2502
165,166,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:08:47,3,run/data/m3/debug.log,2315
166,167,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:55,2,run/data/admin/debug.log,1281
166,167,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:52,3,run/data/m1/debug.log,8727
166,167,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:08:52,3,run/data/m2/debug.log,2564
