height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,0059d027d6dd97a60548c8d6e0304ef293fe1353a5f0d2820b9fbf1d9b636265,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684801,1,529,1,1
2,0055049cb2db8e6b3c15c44b9c253fb65f697a142623b5031ab59602e2b4c893,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684802,1,528,1,1
3,00d080c8cf76eba51dd35f0f7133329d9c66b8b680c13bd79c35434f103497a8,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684803,4,527,1,1
4,00fc12f900116ea10eda710333be6d8ab8cef9384a3bcda978532c41c47499a8,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684806,1,526,1,1
5,007db023edd89e8dbcefeb2a31a0ef5f98b8931bbae67ae0b7e5660e366a2cff,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684811,1,525,1,1
6,008bc3abd4147513cabbb6940b74f212a1e7e2c699c7e03edc86a4208ffeb8a7,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684815,1,524,1,1
7,00b593f4b45e15c3b9eeeb03a4d84ee453fecab8fee0cbacf9cd6aca8526e4c5,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684820,1,523,1,1
8,002673cd578ba2cf36781719030b1101d708774a22af3966851352239c5191e5,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684823,1,522,1,1
9,000fca538d0c1965aa4d26e87768a08d4444ad0eecc2ada593cabb3b7a901a4e,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684827,1,521,1,1
10,00f7f421a5fb1f3e98dca7f355bd1c5d8d8ca8fa38dcfccefd274d1d875fbb2a,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684832,1,520,1,1
11,00e52770d9aabe90ca9b9e2d0e1610ac99df35b971c5c90189779c50b41476e3,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684836,1,519,1,1
12,00c5a955b3b14f36622bbd2c7e3f726de52fe6fee4b3f61b9f51a81ffe45cf4d,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684838,1,518,2,1
13,0053d38bb45eee278835426dd53c4eecc6536683cd96609998e6b4ee2ade58b6,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684839,1,517,2,1
14,00b8e43d41c82b425bc99d51302a1b82198c34e5646866b415e3600d7115be03,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684840,1,516,2,1
15,008dd01616a0be13f7a14fb7bd0955caf8abee1c2fba913e9f2e6595ea7e77b6,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684844,1,515,2,1
16,009638b86b263889ac00d97067d4535947c1730da05657f0c8758f7d6450905d,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684847,1,514,2,1
17,00a06c4c2848e3112158b3094c4c2491f801b8727db368c53efc066703db7c07,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684850,1,513,2,1
18,008ed7047718eadff3f142de55b926def396756d894dfc8af01bc0f200e270e4,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684855,1,512,2,1
19,00a503ae89787276f40e37731af957b7868d23f8fea912dcffb2f348826b0b31,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684858,1,511,2,1
20,009feaa8e0f5a6b66a6ae7a6e87f2c15bc14ee2041ab80a21120efbfb1a3ceb9,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684860,40,510,2,1
21,0003fd836c9866c6968bcbf3e3376742984400a89edc5ef7b5aff537fb43497b,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684862,1,509,2,1
22,0075e9647ef64317bc25e8ecc83f4553a4922da1a680a2193a3cfe1618025450,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684868,1,508,2,1
23,00db615b1c024cf2dcccb0c062cf277f8972674dc367d710c76d1057714b34b8,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684870,1,507,2,1
24,009d494362bce6ced7a05c7fdbedea27a9d77c5db1a38a897f9a5ae3de909dae,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684872,1,506,3,1
25,0016659bd8d614c1dcaf512f00e5731c01c2cda142470a8e2026fcc66b6e8803,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684876,1,505,3,1
26,005bd8526cb8e20f9d4186fd834834940dc9fdec5676126887288610c3914249,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684880,1,504,3,1
27,000b1beec3b890df92de6164643b4687d63c1380fe10df42651b56d094d5e367,19yUSc9yf2eyMjLkrsbVuUW93TBV8LZyCiezMq,,946684881,1,503,3,1
