experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,sigma_id,sigma_s,source,what_it_measures,n,median_s,p90_s,max_s,note
run4-tbt-3s,regionale,1,3,none,true,S1_topology,0.001883,max one-way shortest-path latency between miners from the .gml (rtt/2),"propagation latency; deterministic (jitter 0 us), not a variance",3,,,,
run4-tbt-3s,regionale,1,3,none,true,S2_scheduler_residual_sd,0.63425367,sd of block_time - parent_time - D_logged(observed winner) over measured rounds,quantisation of the 1 s time bar and block timestamps plus miner loop granularity: the noise that actually decides the race,387,0.583,1.461,2.796,PRIMARY estimate for the Prop. 5.18 bound
run4-tbt-3s,regionale,1,3,none,true,S2b_inversion_gap,0.4633868,D_observed_winner - D_min on inverted rounds,size of the disadvantage overcome by the observed winner (only on inverted rounds; biased by selection),94,0.4775,1.144,1.998,"reported for comparison, not used in the bound"
run4-tbt-3s,regionale,1,3,none,true,S3_packet_loss,,,,,,,,"not computable: packet loss is not observable from the archived logs (1 s resolution, no per-message trace)"
