experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run4-tbt-3s,regionale,1,3,none,true,24,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,3,2,0.66666667,,1,2
run4-tbt-3s,regionale,1,3,none,true,24,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,6,0,0.0,,2,8
run4-tbt-3s,regionale,1,3,none,true,24,m2,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,3,1,0.33333333,,0,2
run4-tbt-3s,regionale,1,3,none,true,25,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1,1,1.0,,0,0
run4-tbt-3s,regionale,1,3,none,true,25,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,9,0,0.0,,1,10
run4-tbt-3s,regionale,1,3,none,true,25,m2,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,2,0,0.0,,0,2
run4-tbt-3s,regionale,1,3,none,true,26,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,2,1,0.5,,0,1
run4-tbt-3s,regionale,1,3,none,true,26,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,9,0,0.0,,2,11
run4-tbt-3s,regionale,1,3,none,true,26,m2,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,1,1,1.0,,0,0
run4-tbt-3s,regionale,1,3,none,true,27,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,2,2,1.0,,0,0
run4-tbt-3s,regionale,1,3,none,true,27,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,7,0,0.0,,3,10
run4-tbt-3s,regionale,1,3,none,true,27,m2,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,3,1,0.33333333,,0,2
run4-tbt-3s,regionale,1,3,none,true,28,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,1,1,1.0,,0,0
run4-tbt-3s,regionale,1,3,none,true,28,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,11,1,0.09090909,,1,11
run4-tbt-3s,regionale,1,3,none,true,28,m2,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,0,0,,not computable: never the theoretical argmin in this epoch,1,1
run4-tbt-3s,regionale,1,3,none,true,29,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,3,3,1.0,,0,0
